"Sujeto Obligado",Ejercicio,"Fecha de Inicio Del periodo Que Se Informa","Fecha de Término Del periodo Que Se Informa","Funcion Del Sujeto Obligado (catálogo)","Área Administrativa Encargada de Solicitar El Servicio o Producto, en su caso","Clasificación Del(los) Servicios (catálogos)","Tipo de Servicio","Tipo de Medio (catálogo)","Descripción de Unidad","Tipo (catálogo)","Nombre de La Campaña O Aviso Institucional, en su Caso","Año de La Campaña","Tema de La Campaña O Aviso Institucional","Objetivo Institucional","Objetivo de Comunicación","Costo por unidad","Clave Única de Identificación de Campaña","Autoridad Que Proporcionó La Clave","Cobertura (catálogo)","Ámbito Geográfico de Cobertura","Fecha de Inicio de La Campaña O Aviso Institucional","Fecha de término de La Campaña O Aviso Institucional","Sexo (catálogo)","Lugar de Residencia","Nivel Educativo","Grupo de Edad","Nivel Socioeconómico","Respecto a Los Proveedores y su Contratación","Respecto a Los Recursos y El Presupuesto","Respecto Al Contrato y Los Montos","Área(s) Responsable(s) Que Genera(n), Posee(n), Publica(n) Y Actualizan La Información","Fecha de validación","Fecha de actualización",Nota
Chihuahua,2018,01-Enero-18,31-Marzo-18,"Contratante y solicitante",,"Servicios de difusión en medios de comunicación",Internet,"Medios Digitales",,Campañas,"AMPLIACIÓN SACRAMENTO/ MPIO CONECTA/ LIMPIANDO TU COL/ ACTIVATE CHIH/ 0",,Otro,"Impulsar el desempeño organizacional y promover un modelo institucional de servicio público orientado a resultados con un enfoque de derechos humanos y perspectiva de género","Ampliación Sacramento: Permitir una rápida integración del aforo vehicular constituido por vehículos particulares y trasporte comercial pesado de esta carretera hacia la vialidad Sacramento, uniendo a los municipios de Chihuahua y Aldama de un amanera más armoniosa, es sus dos fases, además de beneficiar a los habitantes de los fraccionamientos que se encuentran en esa zona. Municipio Conecta: Red ihnalámbrica  abierta que el Gobierno Municipal pone a disposición de los ciudadanos que e encuentren en el primer cuadro de la ciudad. Activate: Programa de Salud que tiene el objetivo inculcar en la población una cultura de salud preventiva, brindando herramientas como: circuitos de salud, activaciónes físicas, consultas nutricionales, talleres de nutrición infantil, pláticas emocionales y pláticas de alimentación. Se emplea en Centros Comunitarios del DIF, empresas y escuelas. Limpia tu Colonia: El objetivo de esa actividad era dar una atención más personalizada a los vecinos para ver las necesidades porque no sólo se basaba en parques y alumbrado sino que también de fugas de agua vigilancia o sea era un trabajo en conjunto con seguridad pública, desarrollo urbano, desarrollo humano.",255200.00,CCS007-DIS/2018,"UNIDAD ADMINISTRATIVA DE COMUNICACIÓN SOCIAL",Municipal,"MUNICIPIO DE CHIHUAHUA",2018-02-25,2018-03-24,,,,,,0-7-1-24-30,0-7-1-24-30,0-7-1-24-30,,,,
Chihuahua,2018,01-Enero-18,31-Marzo-18,"Contratante y solicitante",,"Servicios de difusión en medios de comunicación",Radio,"Radiodifusoras locales",,Campañas," DISTRIBUIDOR HOMERO ",,"Obras públicas","Informar a la ciudadania de las acciones, avisos, campañas, obras y servicios que impulsa el Gobierno Municipal que se realizan en beneficio de los habitantes de la ciudad de Chihuahua","El Distribuidor Vial de Avenida Tecnológico y Avenida Homero, consta en la construcción de 4 gazas o rampas de conexión que en conjunto formarán un ?trébol? y permitirá la incorporación entre Avenida Homero y Avenida Tecnológico de manera continua desahogando el aforo vehicular de manera efectiva al mismo tiempo que dará su tiempo y espacio al peatón. Con la finalizad de disminuir el tiempo que se permanece en tráfico vehicular de esa zona.",1710.09,CCS016-CCMM/2018,"Unidad Administrativa  de Comunicación Social",Municipal,"Municipio de Chihuahua",2018-03-01,2018-03-30,,,,,,2018-250-1-87-19,2018-250-1-87-19,2018-250-1-87-19,Chihuahua,2020-07-23,2020-07-23,
Chihuahua,2018,01-Octubre-18,31-Diciembre-18,"Contratante y solicitante",,"Servicios de difusión en medios de comunicación",Radio,"Radiodifusoras locales",,Campañas,"PLAN DE DESARROLLO MUNICIPAL",,"Informes de gobierno","Garantizar el óptimo cumplimiento de los derechos de acceso a la información pública y la protección de datos personales","Dar  a conocer el plan  municipal de desarrollo fomentar la participación de la ciudadanía  con propuesta  para  sea contemplada  en dicho plana.",175392.00,03-CCS-CCMM-2018-2*,"UNIDAD ADMINISTRATIVA DE COMUNICACIÓN SOCIAL",Municipal,"MUNICIPIO DE CHIHUAHUA",2018-10-01,2018-12-31,,,,,,2018-338-1-241-41,2018-338-1-241-41,2018-338-1-241-41,Chihuahua,2020-07-28,2020-07-28,
Chihuahua,2018,01-Octubre-18,31-Diciembre-18,"Contratante y solicitante",,"Servicios de difusión en medios de comunicación",Radio,"Radiodifusoras locales",,Campañas,"MENCIONES DE DESCENSO DE TEMPERATURAS",,"Ecología y medio ambiente","Informar a la ciudadania de las acciones, avisos, campañas, obras y servicios que impulsa el Gobierno Municipal que se realizan en beneficio de los habitantes de la ciudad de Chihuahua","Mantener informado al Sistema Nacional de Protección Civil, de las condiciones meteorológicas que puedan afectar a la población y a sus actividades económicas.",56840.00,8-CCS-M-18,"UNIDAD ADMINISTRATIVA DE COMUNICACIÓN SOCIAL",Municipal,"MUNICIPIO DE CHIHUAHUA",2018-10-01,2018-12-31,,,,,,2018-339-1-241-41,2018-339-1-241-41,2018-339-1-241-41,Chihuahua,2020-07-28,2020-07-28,
Chihuahua,2018,01-Octubre-18,31-Diciembre-18,"Contratante y solicitante",,"Servicios de difusión en medios de comunicación",Radio,"Radiodifusoras locales",,Campañas,"ALERTAS CLIMÁTICAS",,"Protección civil, emergencias y desastres naturales","Informar a la ciudadania de las acciones, avisos, campañas, obras y servicios que impulsa el Gobierno Municipal que se realizan en beneficio de los habitantes de la ciudad de Chihuahua","Mantener informado al Sistema Nacional de Protección Civil, de las condiciones meteorológicas que puedan afectar a la población y a sus actividades económicas.",168084.00,04-CCS-M-18,"UNIDAD ADMINISTRATIVA DE COMUNICACIÓN SOCIAL",Municipal,"MUNICIPIO DE CHIHUAHUA",2018-10-01,2018-12-31,,,,,,2018-339-1-241-41,2018-339-1-241-41,2018-339-1-241-41,Chihuahua,2020-07-28,2020-07-28,
Chihuahua,2018,01-Enero-18,31-Marzo-18,"Contratante y solicitante",,"Servicios de difusión en medios de comunicación",Radio,"Radiodifusoras locales",,Campañas,"Campaña El Predial",,"Trámites y servicios","Informar a la ciudadania de las acciones, avisos, campañas, obras y servicios que impulsa el Gobierno Municipal que se realizan en beneficio de los habitantes de la ciudad de Chihuahua","Descuento del 3% ofrecido en beneficio de los ciudadanos para incrementar la recaudación.",17920.00,CCS.005/ESP/2022,"Unidad Administrativa  de Comunicación Social ",Municipal,"Municipio de Chihuahua",2018-01-01,2018-03-30,,,,,,2018-250-1-87-19,2018-250-1-87-19,2018-250-1-87-19,Chihuahua,2020-07-23,2020-07-23,
Chihuahua,2018,01-Octubre-18,31-Diciembre-18,"Contratante y solicitante",,"Servicios de difusión en medios de comunicación",Radio,"Radiodifusoras locales",,Campañas,"PLAN DE DESARROLLO MUNICIPAL",,"Informes de gobierno","Garantizar el óptimo cumplimiento de los derechos de acceso a la información pública y la protección de datos personales","Dar  a conocer el plan  municipal de desarrollo fomentar la participación de la ciudadanía  con propuesta  para  sea contemplada  en dicho plana.",390153.28,03-CCS-CCMM-2018-2*,"UNIDAD ADMINISTRATIVA DE COMUNICACIÓN SOCIAL",Municipal,"MUNICIPIO DE CHIHUAHUA",2018-10-01,2018-12-31,,,,,,2018-296-1-245-55,2018-296-1-245-55,2018-296-1-245-55,Chihuahua,2020-07-27,2020-07-27,
Chihuahua,2018,01-Octubre-18,31-Diciembre-18,"Contratante y solicitante",,"Servicios de difusión en medios de comunicación",Radio,"Radiodifusoras locales",,Campañas,"ALERTAS CLIMÁTICAS",,"Protección civil, emergencias y desastres naturales","Informar a la ciudadania de las acciones, avisos, campañas, obras y servicios que impulsa el Gobierno Municipal que se realizan en beneficio de los habitantes de la ciudad de Chihuahua","Mantener informado al Sistema Nacional de Protección Civil, de las condiciones meteorológicas que puedan afectar a la población y a sus actividades económicas.",59986.25,04-CCS-M-18,"UNIDAD ADMINISTRATIVA DE COMUNICACIÓN SOCIAL",Municipal,"MUNICIPIO DE CHIHUAHUA",2018-10-01,2018-12-31,,,,,,2018-296-1-245-55,2018-296-1-245-55,2018-296-1-245-55,Chihuahua,2020-07-27,2020-07-27,
Chihuahua,2018,01-Octubre-18,31-Diciembre-18,"Contratante y solicitante",,"Servicios de difusión en medios de comunicación",Radio,"Radiodifusoras locales",,Campañas,"PLAN DE DESARROLLO MUNICIPAL",,"Informes de gobierno","Garantizar el óptimo cumplimiento de los derechos de acceso a la información pública y la protección de datos personales","Dar  a conocer el plan  municipal de desarrollo fomentar la participación de la ciudadanía  con propuesta  para  sea contemplada  en dicho plana.",309531.20,03-CCS-CCMM-2018-2*,"UNIDAD ADMINISTRATIVA DE COMUNICACIÓN SOCIAL",Municipal,"MUNICIPIO DE CHIHUAHUA",2018-10-01,2018-12-31,,,,,,2018-297-1-245-55,2018-297-1-245-55,2018-297-1-245-55,Chihuahua,2020-07-27,2020-07-27,
Chihuahua,2018,01-Octubre-18,31-Diciembre-18,"Contratante y solicitante",,"Servicios de difusión en medios de comunicación",Radio,"Radiodifusoras locales",,Campañas,"ALERTAS CLIMÁTICAS",,"Protección civil, emergencias y desastres naturales","Informar a la ciudadania de las acciones, avisos, campañas, obras y servicios que impulsa el Gobierno Municipal que se realizan en beneficio de los habitantes de la ciudad de Chihuahua","Mantener informado al Sistema Nacional de Protección Civil, de las condiciones meteorológicas que puedan afectar a la población y a sus actividades económicas.",54707.46,04-CCS-M-18,"UNIDAD ADMINISTRATIVA DE COMUNICACIÓN SOCIAL",Municipal,"MUNICIPIO DE CHIHUAHUA",2018-10-01,2018-12-31,,,,,,2018-297-1-245-55,2018-297-1-245-55,2018-297-1-245-55,Chihuahua,2020-07-27,2020-07-27,
