"ID Respecto al contrato y los montos (Factura-Orden de compra-Contrato-Proveedor)","Fecha de Firma Del Contrato","Número O Referencia de Identificación Del Contrato","Objeto Del Contrato","Hipervínculo Al Contrato Firmado","Hipervínculo Al Convenio Modificatorio, en su Caso","Monto Total Del Contrato","Monto Pagado Al Periodo Publicado","Fecha de Inicio de Los Servicios Contratados","Fecha de Término de Los Servicios Contratados","Número de Factura","Hipervínculo a La Factura"
10-1-164-55,2019-03-15,AD097/19,"Spot  en la radio LOBO de avisos y campañas.",https://www.sindicatura.mx/publicidad-abierta/data/contratos/AD_097-19.PDF,,395912.00,395912.00,2019-03-15,2019-06-30,"RL 8231",https://www.sindicatura.mx/publicidad-abierta/data/facturas/48-RADIO_LOBO_S.A._DE_C.V..PDF
100-1-29-71,2019-03-15,AD074/19,"Spot de campaña del predial de enero de 30 seg. del canal 6.4",https://www.sindicatura.mx/publicidad-abierta/data/contratos/AD_074-19.PDF,,891750.00,891750.00,2019-03-15,2019-06-30,1,https://www.sindicatura.mx/publicidad-abierta/data/facturas/4-UNIDAD_CORPORATIVA_DE_TELEVISION_S.A._DE_C.V..PDF
101-1-135-24,2019-03-15,AD075/19,"Banner el pagina de visión chihuahua con link al a pagina del municipio.",https://www.sindicatura.mx/publicidad-abierta/data/contratos/AD_075-19.PDF,,120000.00,120000.00,2019-03-15,2019-06-30,27,https://www.sindicatura.mx/publicidad-abierta/data/facturas/5-ANALISTAS_DEL_FLORIDO_S.A._DE_C.V..PDF
102-1-135-24,2019-03-15,AD075/19,"Banner el pagina de visión chihuahua con link al a pagina del municipio",https://www.sindicatura.mx/publicidad-abierta/data/contratos/AD_075-19.PDF,,40000.00,40000.00,2019-03-15,2019-06-30,29,https://www.sindicatura.mx/publicidad-abierta/data/facturas/6-ANALISTAS_DEL_FLORIDO_S.A._DE_C.V..PDF
103-1-136-35,2019-03-15,AD076/19,"PUBLICACIONES EN EL HERALDO DE CHIHUAHUA",https://www.sindicatura.mx/publicidad-abierta/data/contratos/AD_076-19.PDF,,1597857.16,1597857.16,2019-03-15,2019-07-30,APAB000011430,https://www.sindicatura.mx/publicidad-abierta/data/facturas/7-CIA._PERIODISTICA_EL_SOL_DE_CHIHUAHUA_S.A._DE_C.V..PDF
104-1-136-35,2019-03-15,AD076/19,"


PUBLICACIONES EN EL HERALDO DE CHIHUAHUA


",https://www.sindicatura.mx/publicidad-abierta/data/contratos/AD_076-19.PDF,,3728062.35,3728062.35,2019-03-15,2019-07-30,APAB000011464,https://www.sindicatura.mx/publicidad-abierta/data/facturas/8-CIA._PERIODISTICA_EL_SOL_DE_CHIHUAHUA_S.A._DE_C.V..PDF
105-1-144-13,2019-03-15,AD077/19,"Banner el pagina de el pueblo con link al a pagina del municipio de chihuaua.",https://www.sindicatura.mx/publicidad-abierta/data/contratos/AD_077-19.PDF,,60000.00,60000.00,2019-03-15,2019-06-20,311,https://www.sindicatura.mx/publicidad-abierta/data/facturas/9-EL_PUEBLO_FAMILIAR_S.A._DE_C.V..PDF
106-1-144-13,2019-03-15,AD077/19,"banner el pagina de el pueblo con link al a pagina del municipio de chihuaua",https://www.sindicatura.mx/publicidad-abierta/data/contratos/AD_077-19.PDF,,120000.00,120000.00,2019-03-15,2019-06-20,303,https://www.sindicatura.mx/publicidad-abierta/data/facturas/10-EL_PUEBLO_FAMILIAR_S.A._DE_C.V..PDF
107-1-146-53,2019-03-15,AD079/19,"Inserciones en la revista radionet",https://www.sindicatura.mx/publicidad-abierta/data/contratos/AD_079-19.PDF,,60000.00,60000.00,2019-03-15,2019-06-30,A-4409,https://www.sindicatura.mx/publicidad-abierta/data/facturas/13-RADIO_JUARENSE_S.A._DE_C.V..PDF
108-1-146-53,2019-03-15,AD079/19,"inserciones en la revista radionet",https://www.sindicatura.mx/publicidad-abierta/data/contratos/AD_079-19.PDF,,60000.00,60000.00,2019-03-15,2019-06-30,A-4334,https://www.sindicatura.mx/publicidad-abierta/data/facturas/14-RADIO_JUARENSE_S.A._DE_C.V..PDF
