#,Ejercicio,"Fecha de inicio del periodo que se informa","Fecha de término del periodo que se informa","Sujeto Obligado","Tipo (catálogo)","Medio de Comunicación (catálogo)","Descripción de Unidad","Concepto o Campaña","Clave Única de Identificación de Campaña o Aviso Institucional","Autoridad Que Proporcionó la Clave Única de Identificación de Campaña o Aviso Institucional","Cobertura (catálogo)","Ámbito Geográfico de Cobertura","Sexo (catálogo)","Lugar de Residencia","Nivel Educativo","Grupo de Edad","Nivel socioeconómico","Concesionario Responsable de Publicar la Campaña o la Comunicación Correspondiente (razón social)","Distintivo y/o Nombre Comercial del Concesionario Responsable de Publicar la Campaña o Comunicación","Descripción Breve de las Razones que Justifican la Elección del Proveedor","Monto Total del Tiempo de Estado o Tiempo Fiscal Consumidos","Área administrativa Encargada de Solicitar la Difusión del Mensaje o Producto","Fecha de Inicio de Difusión del Concepto o Campaña","Fecha de Término de Difusión del Concepto o Campaña","Presupuesto Total Asignado y Ejercido de Cada Partida","Número de Factura","Área(s) Responsable(s) Que Genera(n), Posee(n), Publica(n) y Actualizan la Información","Fecha de Validación","Fecha de actualización",Nota
1,2018,2018-01-01,2018-03-31,Chihuahua,"Tiempo oficial",Internet,Banner,"AMPLIACIÓN SACRAMENTO/ MPIO CONECTA/ LIMPIANDO TU COL/ ACTIVATE CHIH/ 0",CCS007-DIS/2018,"UNIDAD ADMINISTRATIVA DE COMUNICACIÓN SOCIAL",Municipal,"MUNICIPIO DE CHIHUAHUA",,,,,,"Imprenta Siglo XXV, S.A. de C.V.",tiempo.com.mx,"Sin Orden de Compra",00:01:00,,2018-02-25,2018-03-24,0,A672,"UNIDAD ADMINISTRATIVA DE COMUNICACIÓN SOCIAL",2018-06-13,2018-03-30,
2,2018,2018-01-01,2018-03-31,Chihuahua,"Tiempo comercial",Radio,Spot," DISTRIBUIDOR HOMERO ",CCS016-CCMM/2018,"Unidad Administrativa  de Comunicación Social",Municipal,"Municipio de Chihuahua",,,,,,"La Ventana del Juicio.mx",,"Sin Orden de Compra",00:01:00,Chihuahua,2018-03-01,2018-03-30,2018,242,"Unidad Administrativa  de Comunicación Social",2018-06-13,2018-03-30,
3,2018,2018-10-01,2018-12-31,Chihuahua,"Tiempo oficial",Radio,Spot,"PLAN DE DESARROLLO MUNICIPAL",03-CCS-CCMM-2018-2*,"UNIDAD ADMINISTRATIVA DE COMUNICACIÓN SOCIAL",Municipal,"MUNICIPIO DE CHIHUAHUA",,,,,,"Antena 102.5",,"Sin Orden de Compra",,Chihuahua,2018-10-01,2018-12-31,2018,-337,"UNIDAD ADMINISTRATIVA DE COMUNICACIÓN SOCIAL",2019-01-28,2018-12-31,
4,2018,2018-10-01,2018-12-31,Chihuahua,"Tiempo comercial",Radio,Spot,"MENCIONES DE DESCENSO DE TEMPERATURAS",8-CCS-M-18,"UNIDAD ADMINISTRATIVA DE COMUNICACIÓN SOCIAL",Municipal,"MUNICIPIO DE CHIHUAHUA",,,,,,"Antena 102.5",,"Sin Orden de Compra",00:00:01,Chihuahua,2018-10-01,2018-12-31,2018,338,"UNIDAD ADMINISTRATIVA DE COMUNICACIÓN SOCIAL",2019-01-28,2018-12-31,
5,2018,2018-10-01,2018-12-31,Chihuahua,"Tiempo comercial",Radio,Spot,"ALERTAS CLIMÁTICAS",04-CCS-M-18,"UNIDAD ADMINISTRATIVA DE COMUNICACIÓN SOCIAL",Municipal,"MUNICIPIO DE CHIHUAHUA",,,,,,"Antena 102.5",,"Sin Orden de Compra",00:01:00,Chihuahua,2018-10-01,2018-12-31,2018,338,"UNIDAD ADMINISTRATIVA DE COMUNICACIÓN SOCIAL",2019-01-28,2018-12-31,
6,2018,2018-01-01,2018-03-31,Chihuahua,"Tiempo oficial",Radio,Spot,"Campaña El Predial",CCS.005/ESP/2022,"Unidad Administrativa  de Comunicación Social ",Municipal,"Municipio de Chihuahua",,,,,,"La Ventana del Juicio.mx",,"Sin Orden de Compra",00:01:00,Chihuahua,2018-01-01,2018-03-30,2018,242,"Unidad Administrativa  de Comunicación Social ",2018-06-13,2018-03-30,
7,2018,2018-10-01,2018-12-31,Chihuahua,"Tiempo oficial",Radio,Spot,"PLAN DE DESARROLLO MUNICIPAL",03-CCS-CCMM-2018-2*,"UNIDAD ADMINISTRATIVA DE COMUNICACIÓN SOCIAL",Municipal,"MUNICIPIO DE CHIHUAHUA",,,,,,"Radio Lobo, S.A. de C.V.","El Lobo 106.1 Chihuahua","Sin Orden de Compra",,Chihuahua,2018-10-01,2018-12-31,2018,"RL 7935","UNIDAD ADMINISTRATIVA DE COMUNICACIÓN SOCIAL",2019-01-28,2018-12-31,
8,2018,2018-10-01,2018-12-31,Chihuahua,"Tiempo comercial",Radio,Spot,"ALERTAS CLIMÁTICAS",04-CCS-M-18,"UNIDAD ADMINISTRATIVA DE COMUNICACIÓN SOCIAL",Municipal,"MUNICIPIO DE CHIHUAHUA",,,,,,"Radio Lobo, S.A. de C.V.","El Lobo 106.1 Chihuahua","Sin Orden de Compra",00:01:00,Chihuahua,2018-10-01,2018-12-31,2018,"RL 7935","UNIDAD ADMINISTRATIVA DE COMUNICACIÓN SOCIAL",2019-01-28,2018-12-31,
9,2018,2018-10-01,2018-12-31,Chihuahua,"Tiempo oficial",Radio,Spot,"PLAN DE DESARROLLO MUNICIPAL",03-CCS-CCMM-2018-2*,"UNIDAD ADMINISTRATIVA DE COMUNICACIÓN SOCIAL",Municipal,"MUNICIPIO DE CHIHUAHUA",,,,,,"Radio Lobo, S.A. de C.V.","El Lobo 106.1 Chihuahua","Sin Orden de Compra",,Chihuahua,2018-10-01,2018-12-31,2018,"RL 7960","UNIDAD ADMINISTRATIVA DE COMUNICACIÓN SOCIAL",2019-01-28,2018-12-31,
10,2018,2018-10-01,2018-12-31,Chihuahua,"Tiempo comercial",Radio,Spot,"ALERTAS CLIMÁTICAS",04-CCS-M-18,"UNIDAD ADMINISTRATIVA DE COMUNICACIÓN SOCIAL",Municipal,"MUNICIPIO DE CHIHUAHUA",,,,,,"Radio Lobo, S.A. de C.V.","El Lobo 106.1 Chihuahua","Sin Orden de Compra",00:01:00,Chihuahua,2018-10-01,2018-12-31,2018,"RL 7960","UNIDAD ADMINISTRATIVA DE COMUNICACIÓN SOCIAL",2019-01-28,2018-12-31,
11,2018,2018-01-01,2018-03-31,Chihuahua,"Tiempo oficial",Internet,Banner,"B. ACADÉMICAS RURALES/ ESCUDO ESCOLAR/ 911/ DARE/ VISTAS CERRO ",CCS005-DIS/2019,"UNIDAD ADMINISTRATIVA DE COMUNICACIÓN SOCIAL",Municipal,"MUNICIPIO DE CHIHUAHUA",,,,,,"Imprenta Siglo XXV, S.A. de C.V.",tiempo.com.mx,"Sin Orden de Compra",00:01:00,,2018-02-12,2018-02-18,0,A671,"UNIDAD ADMINISTRATIVA DE COMUNICACIÓN SOCIAL",2018-06-13,2018-03-30,
12,2018,2018-01-01,2018-03-31,Chihuahua,"Tiempo comercial",Radio,Spot,"Predial/ Becas de Transporte/ Invitación A Pagar el Predial",CCS.0010/ESP/2027,"Unidad Administrativa  de Comunicación Social",Municipal,"Municipio de Chihuahua",,,,,,"La Ventana del Juicio.mx",,"Sin Orden de Compra",00:01:00,Chihuahua,2018-01-01,2018-03-30,2018,242,"Unidad Administrativa  de Comunicación Social",2018-06-13,2018-03-30,
13,2018,2018-01-01,2018-03-31,Chihuahua,"Tiempo oficial",Internet,Banner,"TARJETA/B. EXCELENCIA B. TRANSPORTE/ PREDIAL /MARCA EL CAMBIO",CCS002-DIS/2018,"UNIDAD ADMINISTRATIVA DE COMUNICACIÓN SOCIAL",Municipal,"MUNICIPIO DE CHIHUAHUA",,,,,,"Imprenta Siglo XXV, S.A. de C.V.",tiempo.com.mx,"Sin Orden de Compra",00:01:00,Chihuahua,2018-01-31,2018-02-04,2018,A656,"UNIDAD ADMINISTRATIVA DE COMUNICACIÓN SOCIAL",2018-06-13,2018-03-30,
14,2018,2018-01-01,2018-03-31,Chihuahua,"Tiempo oficial",Internet,Banner,"CHIHUAHUA EMPRENDE/ GAZA JUVENTUD/BECAS DISCAPACIDAD/C. BENITO JUÁREZ/ B. ADULTO ",CCS003-DIS/2018,"UNIDAD ADMINISTRATIVA DE COMUNICACIÓN SOCIAL",Municipal,"MUNICIPIO DE CHIHUAHUA",,,,,,"Imprenta Siglo XXV, S.A. de C.V.",tiempo.com.mx,"Sin Orden de Compra",00:01:00,Chihuahua,2018-01-31,2018-02-04,2018,A660,"UNIDAD ADMINISTRATIVA DE COMUNICACIÓN SOCIAL",2018-06-13,2018-03-30,
15,2018,2018-01-01,2018-03-31,Chihuahua,"Tiempo comercial",Televisión,Spot,"Campaña Fiesta de Luz/ Ciudad Más Limpia",CCS.0011/ESP/2028,"Unidad Administrativa  de Comunicación Social",Municipal,"Municipio de Chihuahua",,,,,,"Comunicación Futura, S.A. de C.V.","Lobo TV","Sin Orden de Compra",00:01:00,Chihuahua,2018-01-01,2018-03-30,2018,204,"Unidad Administrativa  de Comunicación Social",2018-06-13,2018-03-30,
16,2018,2018-01-01,2018-03-31,Chihuahua,"Tiempo comercial",Televisión,Spot,"Ciudad Más Limpia/ Fiesta de Luz",CCS.0012/ESP/2029,"Unidad Administrativa  de Comunicación Social",Municipal,"Municipio de Chihuahua",,,,,,"Comunicación Futura, S.A. de C.V.","Lobo TV","Sin Orden de Compra",00:01:00,Chihuahua,2018-03-30,0000-00-00,2018,204,"Unidad Administrativa  de Comunicación Social",2018-06-13,2018-03-30,
17,2018,2018-01-01,2018-03-31,Chihuahua,"Tiempo comercial",Televisión,Spot,"Gaza Circulación",CS/05.2018/C28/DA.DOJA,"Unidad Administrativa  de Comunicación Social",Municipal,"Municipio de Chihuahua",,,,,,"Comunicación Futura, S.A. de C.V.","Lobo TV","Sin Orden de Compra",,Chihuahua,2018-02-03,2018-02-17,2018,203,"Unidad Administrativa  de Comunicación Social",2018-06-13,2018-03-30,
