#,Ejercicio,"Fecha de inicio del periodo que se informa","Fecha de término del periodo que se informa",Mensaje,"Hipervínculo Que Dirija a La Información Relativa a La Utilización de Los Tiempos Oficiales","Área(s) Responsable(s) Que Genera(n), Posee(n), Publica(n) y Actualizan la Información","Fecha de Validación","Fecha de actualización",Nota
1,2018,2018-01-03,2018-01-18,,,,,,
2,2018,2018-01-01,2018-03-31,,,"UNIDAD ADMINISTRATIVA DE COMUNICACIÓN SOCIAL",2018-06-13,2018-03-30,
3,2018,2018-01-01,2018-03-31,,,"UNIDAD ADMINISTRATIVA DE COMUNICACIÓN SOCIAL",2018-06-13,2018-03-30,
4,2018,2018-01-01,2018-03-31,,,"UNIDAD ADMINISTRATIVA DE COMUNICACIÓN SOCIAL",2018-06-13,2018-03-30,
5,2018,2018-01-01,2018-03-31,,,"UNIDAD ADMINISTRATIVA DE COMUNICACIÓN SOCIAL",2018-06-13,2018-03-30,
6,2018,2018-01-01,2018-03-31,,,"UNIDAD ADMINISTRATIVA DE COMUNICACIÓN SOCIAL",2018-06-13,2018-03-30,
7,2018,2018-01-01,2018-03-31,,,"UNIDAD ADMINISTRATIVA DE COMUNICACIÓN SOCIAL",2018-06-13,2018-03-30,
8,2018,2018-01-01,2018-03-31,,,"UNIDAD ADMINISTRATIVA DE COMUNICACIÓN SOCIAL",2018-06-13,2018-03-30,
9,2018,2018-01-01,2018-03-31,,,"UNIDAD ADMINISTRATIVA DE COMUNICACIÓN SOCIAL",2018-06-13,2018-03-30,
10,2018,2018-01-01,2018-03-31,,,"UNIDAD ADMINISTRATIVA DE COMUNICACIÓN SOCIAL",2018-06-13,2018-03-30,
11,2018,2018-01-01,2018-03-31,,,"UNIDAD ADMINISTRATIVA DE COMUNICACIÓN SOCIAL",2018-06-13,2018-03-30,
12,2018,2018-01-01,2018-03-31,,,"UNIDAD ADMINISTRATIVA DE COMUNICACIÓN SOCIAL",2018-06-13,2018-03-30,
13,2018,2018-01-01,2018-03-31,,,"UNIDAD ADMINISTRATIVA DE COMUNICACIÓN SOCIAL",2018-06-13,2018-03-30,
14,2018,2018-01-01,2018-03-31,,,"UNIDAD ADMINISTRATIVA DE COMUNICACIÓN SOCIAL",2018-06-13,2018-03-30,
15,2018,2018-01-01,2018-03-31,,,"UNIDAD ADMINISTRATIVA DE COMUNICACIÓN SOCIAL",2018-06-13,2018-03-30,
16,2018,2018-01-01,2018-03-31,,,"UNIDAD ADMINISTRATIVA DE COMUNICACIÓN SOCIAL",2018-06-13,2018-03-30,
17,2018,2018-01-01,2018-03-31,,,"UNIDAD ADMINISTRATIVA DE COMUNICACIÓN SOCIAL",2018-06-13,2018-03-30,
18,2018,2018-01-01,2018-03-31,,,"UNIDAD ADMINISTRATIVA DE COMUNICACIÓN SOCIAL",2018-06-13,2018-03-30,
19,2019,2019-04-01,2019-06-30,,,"Unidad Administrativa  de Comunicación Social",2019-07-24,2019-06-30,
20,2018,2018-01-01,2018-01-31,,,"UNIDAD ADMINISTRATIVA DE COMUNICACIÓN SOCIAL",2018-06-13,2018-03-30,
21,2018,2018-01-01,2018-03-31,,,"UNIDAD ADMINISTRATIVA DE COMUNICACIÓN SOCIAL",2018-06-13,2018-03-30,
22,2018,2018-01-01,2018-03-31,,,"UNIDAD ADMINISTRATIVA DE COMUNICACIÓN SOCIAL",2018-06-13,2018-03-30,
23,2018,2018-01-01,2018-03-31,,,"Unidad Administrativa  de Comunicación Social ",2018-06-13,2018-03-30,
24,2018,2018-01-01,2018-03-31,,,"UNIDAD ADMINISTRATIVA DE COMUNICACIÓN SOCIAL",2018-06-13,2018-03-30,
25,2019,2019-04-01,2019-06-30,,,"Unidad Administrativa de coordinación de  Comunicación Social del Gobierno Municipal",2019-07-24,2019-06-30,
26,2019,2019-04-01,2019-06-30,,,"Unidad Administrativa de coordinación de  Comunicación Social del Gobierno Municipal",2019-07-24,2019-06-30,
27,2018,2018-01-01,2018-03-31,,,"Unidad Administrativa  de Comunicación Social ",2018-06-13,2018-03-30,
28,2019,2019-04-01,2019-06-30,,,"Unidad Administrativa de coordinación de  Comunicación Social del Gobierno Municipal",2019-07-24,2019-06-30,
29,2019,2019-04-01,2019-06-30,,,"Unidad Administrativa de coordinación de  Comunicación Social del Gobierno Municipal",2019-07-24,2019-06-30,
30,2019,2019-04-01,2019-06-30,,,"Unidad Administrativa de coordinación de  Comunicación Social del Gobierno Municipal",2019-07-24,2019-06-30,
31,2018,2018-01-01,2018-03-31,,,"Unidad Administrativa  de Comunicación Social ",2018-06-13,2018-03-30,
32,2019,2019-04-01,2019-06-30,,,"Unidad Administrativa de coordinación de  Comunicación Social del Gobierno Municipal",2019-07-24,2019-06-30,
33,2019,2019-04-01,2019-06-30,,,"Unidad Administrativa de coordinación de  Comunicación Social del Gobierno Municipal",2019-07-24,2019-06-30,
34,2019,2019-04-01,2019-06-30,,,"Unidad Administrativa de coordinación de  Comunicación Social del Gobierno Municipal",2019-07-24,2019-06-30,
35,2019,2019-04-01,2019-06-30,,,"Unidad Administrativa de coordinación de  Comunicación Social del Gobierno Municipal",2019-07-24,2019-06-30,
36,2019,2019-04-01,2019-06-30,,,"Unidad Administrativa de coordinación de  Comunicación Social del Gobierno Municipal",2019-07-24,2019-06-30,
37,2019,2019-04-01,2019-06-30,,,"Unidad Administrativa de coordinación de  Comunicación Social del Gobierno Municipal",2019-07-24,2019-06-30,
38,2019,2019-04-01,2019-06-30,,,"Unidad Administrativa de coordinación de  Comunicación Social del Gobierno Municipal",2019-07-24,2020-06-30,
39,2018,2018-01-01,2018-03-31,,,"UNIDAD ADMINISTRATIVA DE COMUNICACIÓN SOCIAL",2018-06-13,2018-03-30,
40,2019,2019-04-01,2019-06-30,,,"Unidad Administrativa de coordinación de  Comunicación Social del Gobierno Municipal",2019-07-24,2019-06-30,
41,2019,2019-04-01,2019-06-30,,,"Unidad Administrativa de coordinación de  Comunicación Social del Gobierno Municipal",2019-07-24,2020-06-30,
42,2019,2019-04-01,2019-06-30,,,"Unidad Administrativa de coordinación de  Comunicación Social del Gobierno Municipal",2019-07-24,2019-06-30,
43,2018,2018-01-01,2018-03-31,,,"UNIDAD ADMINISTRATIVA DE COMUNICACIÓN SOCIAL",2018-06-13,2018-03-30,
44,2018,2018-01-01,2018-03-31,,,"UNIDAD ADMINISTRATIVA DE COMUNICACIÓN SOCIAL",2018-06-13,2018-03-30,
45,2019,2019-04-01,2019-06-30,,,"Unidad Administrativa de coordinación de  Comunicación Social del Gobierno Municipal",2019-07-24,2019-06-30,
46,2019,2019-04-01,2019-06-30,,,"Unidad Administrativa de coordinación de  Comunicación Social del Gobierno Municipal",2019-07-24,2019-06-30,
47,2018,2018-01-01,2018-03-31,,,"UNIDAD ADMINISTRATIVA DE COMUNICACIÓN SOCIAL",2018-06-13,2018-03-30,
48,2019,2019-04-01,2019-06-30,,,"Unidad Administrativa de coordinación de  Comunicación Social del Gobierno Municipal",2019-07-24,2019-06-30,
49,2018,2018-01-01,2018-03-31,,,"UNIDAD ADMINISTRATIVA DE COMUNICACIÓN SOCIAL",2018-06-13,2018-03-30,
50,2019,2019-04-01,2019-04-30,,,"Unidad Administrativa de coordinación de  Comunicación Social del Gobierno Municipal",2019-07-24,2019-06-30,
51,2018,2018-01-01,2018-03-31,,,"UNIDAD ADMINISTRATIVA DE COMUNICACIÓN SOCIAL",2018-06-13,2018-03-30,
52,2019,2019-04-01,2019-06-30,,,"Unidad Administrativa de coordinación de  Comunicación Social del Gobierno Municipal",2020-06-24,2019-06-30,
53,2019,2019-04-01,2019-06-30,,,"Unidad Administrativa de coordinación de  Comunicación Social del Gobierno Municipal",2020-07-24,2020-06-30,
54,2018,2018-01-01,2018-03-31,,,"UNIDAD ADMINISTRATIVA DE COMUNICACIÓN SOCIAL",2018-06-13,2018-03-30,
