#,"Número de contrato",Procedimiento,Proveedor,Ejercicio,Trimestre,Contratante,Solicitante,"Objeto del contrato",Descripción,"Fundamento jurídico","Fecha celebración","Fecha inicio","Fecha fin","Monto original del contrato","Monto modificado","Monto total","Monto pagado a la fecha","Archivo contrato en PDF (Vinculo al archivo)",Estatus
1,AD220/19,"Adjudicación directa","Promotora de Radio de Chihuahua, S.A. de C.V.",2019,julio-septiembre,Chihuahua,Chihuahua,"Publicidad radiofonica
 ","Servicio de publicidad en radio a través del Programa Estereo Vida, XHHES 94.1 F.M., ArrobaXHDI 88.5, la poderosa XHFA 89.3 y Estereo Meixcana 96.5 F.M."", vía spots de avisos y anuncios oficiales, transmisiones en programas y transmisiones en vivo para la correcta comunicación del Gobierno Municipal. 
 ","""Ley de Adquisiciones, Arrendamientos y Contratación de Servicios del Estado de Chihuahua, 29F.IV, 40 F. II, 72, 73 F.I,No existan bienes o servicios alternativos o sustitutos técnicamente razonables, o bien, que en el mercado exista una sola persona oferente. ""
 ",2019-07-19,2019-07-19,2019-12-31,1394439.00,0.00,1394439.00,1394438.96,AD_220-19.PDF,Activo
2,AD229/19,"Adjudicación directa","Multimedios, S.A. de C.V.",2019,julio-septiembre,Chihuahua,Chihuahua,"Publicidad radiofonica
 ","Servicio de publicidad en radio a través de la Programación de ""Multimedios"", vía spots de avisos y anuncios oficiales, transmisiones en programas y transmisiones en vivo para la correcta comunicación del Gobierno Municipal. A través de sus estaciones de radio XACH 90.9 F.M. La caliente, XHCHA104.5 Hits F.M., XHCHH94.5 D95, XHHEM 103.7 F.M. Classic F.M. 
 ","""Ley de Adquisiciones, Arrendamientos y Contratación de Servicios del Estado de Chihuahua, 29F.IV, 40 F. II, 72, 73 F.I,No existan bienes o servicios alternativos o sustitutos técnicamente razonables, o bien, que en el mercado exista una sola persona oferente. ""
 ",2019-07-19,2019-07-19,2019-12-31,1740000.00,0.00,1740000.00,,AD_229-19.PDF,Activo
3,AD226/19,"Adjudicación directa","Imagen Radio Comercial, S.A. de C.V.",2019,julio-septiembre,Chihuahua,Chihuahua,"Publicidad radiofonica
 ","Servicio de publicidad en radio a través de la Programación de ""Imagen radio comercial XHCHI 97.3 F.M."", vía spots de avisos y anuncios oficiales, transmisiones en programas y transmisiones en vivo para la correcta comunicación del Gobierno Municipal. 
 ","""Ley de Adquisiciones, Arrendamientos y Contratación de Servicios del Estado de Chihuahua, 29F.IV, 40 F. II, 72, 73 F.I,No existan bienes o servicios alternativos o sustitutos técnicamente razonables, o bien, que en
el mercado exista una sola persona oferente. ""
 ",2019-07-19,2019-07-19,2019-12-31,1075204.00,0.00,1075204.00,1075204.00,AD_226-19.PDF,Activo
4,AD304/18,"Adjudicación directa","Roger Sistemas Exteriores, S. de R.L. de C.V.",2018,octubre-diciembre,Chihuahua,Chihuahua,"Publicidad Exterior ","Arrendamiento de espacios Unipolares Contando con Servicio de impresión, montaje, retiro del material, en diversos puntos de la ciudad para la adecuada comunicación del Gobierno Municipal. ","Ley de Adquisiciones, Arrendamientos y contratación de Servicios para el Estado de Chihuahua, Articulos; 44 F. II, 48, 72, 73 F. I  No existan bienes o servicios alternativos o sustitutos técnicamente razonables, o bien, que en el mercado exista una sola persona oferente ",2018-10-01,2018-10-01,2018-12-31,350000.00,0.00,350000.00,350000.00,AD304-18.PDF,Activo
5,AD302/18,"Adjudicación directa","Silent Mobil S. de R.L. de C.V.",2018,octubre-diciembre,Chihuahua,Chihuahua,"Servicios de monitoreo de medios de comunicación. ","Servicio de análisis de tendencia e interacción dentro del posicionamiento en redes sociales para la correcta comunicación del gobierno municipal, en el transcurso del año 2018. ","Ley de Adquisiciones, Arrendamientos y contratación de Servicios para el Estado de Chihuahua, Articulos; 44 F. II, 48, 72, 73 F. I  No existan bienes o servicios alternativos o sustitutos técnicamente razonables, o bien, que en el mercado exista una sola persona oferente ",2018-10-01,2018-10-01,2018-12-31,249960.00,0.00,249960.00,249960.00,,Activo
6,AD303/18,"Adjudicación directa","Información Procesada Hemeroteca  Y Análisis de Prensa, S.C.",2018,octubre-diciembre,Chihuahua,Chihuahua,"Servicio de Monitoreo de Medios de Comunicación.","Servicio de monitoreo profesional de medios (radio, televisión, prensa escrita y periodicos digitales para así poder tener una adecuada medición al desempeño del gobierno municipal, solicitado por la coordinación de comunicación social. ","Ley de Adquisiciones, Arrendamientos y contratación de Servicios para el Estado de Chihuahua, Articulos; 44 F. II, 48, 72, 73 F. I  No existan bienes o servicios alternativos o sustitutos técnicamente razonables, o bien, que en el mercado exista una sola persona oferente ",2018-10-01,2020-10-01,2018-12-31,175000.00,0.00,175000.00,175000.00,AD_303-18.PDF,Activo
7,AD313/18,"Adjudicación directa",www.elpuntero.com.mx,2018,octubre-diciembre,Chihuahua,Chihuahua,"Publicidad medios digitales ","Servicio de publicidad en medios informativos digitales de mayor circulación y en plataformas digitales, especificamente en la pagina www.elpuntero.com.mx  y tiempo que le sea solicitado la coordinación de comunicación social.","Ley de Adquisiciones, Arrendamientos y contratación de Servicios para el Estado de Chihuahua, Articulos; 44 F. II, 48, 72, 73 F. I  No existan bienes o servicios alternativos o sustitutos técnicamente razonables, o bien, que en el mercado exista una sola persona oferente",2018-10-01,2018-10-01,2018-12-31,199400.00,0.00,199400.00,196000.00,T-AD_313-18_-_XOCHITL_JASMIN_GARCIA_GOMEZ.PDF,Activo
8,AD301/18,"Adjudicación directa","Monito, Análisis y Monitoreo de Medios, S.A. de C.V.",2018,octubre-diciembre,Chihuahua,Chihuahua,"Servicios diverso de comunicación ","Servicio de monitoreo profesional de medios (radio, televisión, prensa escrita y periodicos digitales para así poder tener una adecuada medición al desempeño del gobierno municipal, solicitado por la coordinación de comunicación social. ","Ley de Adquisiciones, Arrendamientos y contratación de Servicios para el Estado de Chihuahua, Articulos; 44 F. II, 48, 72, 73 F. I  No existan bienes o servicios alternativos o sustitutos técnicamente razonables, o bien, que en el mercado exista una sola persona oferente ",2018-10-01,2018-10-01,2018-12-31,435000.00,0.00,435000.00,435000.00,AD_301-18.PDF,Activo
9,AD300/18,"Adjudicación directa","Jessica Arely Medina Valerio",2018,octubre-diciembre,Chihuahua,Chihuahua,"Publicidad exterior ","Servicio de publicidad en Mega Pantalla, ubicada en calle Libertad esquina con Vicente Guerrero, Colonia Centro, para la correcta comunicación del Gobierno Municipal ","Ley de Adquisiciones, Arrendamientos y contratación de Servicios para el Estado de Chihuahua, Articulos; 44 F. II, 48, 72, 73 F. I  No existan bienes o servicios alternativos o sustitutos técnicamente razonables, o bien, que en el mercado exista una sola persona oferente. ",2018-10-01,2018-10-01,2018-12-31,198000.00,0.00,198000.00,198000.00,T-AD_300-18_-_JESSICA_ARELY_MEDINA_VALERIO.PDF,Activo
10,AD010/18,"Adjudicación directa","Imprenta Siglo XXV, S.A. de C.V.",2018,enero-marzo,Chihuahua,Chihuahua,"Publicidad medios digitales ","Servicio de publicidad en el medio informativo digital, especificamente en la página www.tiempo. com.mx ","Ley de Adquisiciones, Arrendamientos, Contratación de Servicios y Obra Pública del Estado de Chihuahua, Art. 102, A, F.XI Se trate de servicios profesionales ",2018-01-01,2018-01-01,2018-06-30,835200.00,0.00,835200.00,835200.00,5f0752cb956e5_AD010-18.PDF,Activo
