#,"Número de factura",Proveedor,Contrato,Orden,Ejercicio,Trimestre,Monto,"Archivo factura en PDF (Vínculo al archivo)","Archivo factura en XML (Vínculo al archivo)","Fecha de erogación",Estatus
1,A672,"Imprenta Siglo XXV, S.A. de C.V.",AD010/18,"Sin orden de compra",2018,enero-marzo,255200.00,1_IMPRENTA_SIGLO_XXV.PDF,,2018-03-21,Activo
2,A671,"Imprenta Siglo XXV, S.A. de C.V.",AD010/18,"Sin orden de compra",2018,enero-marzo,232000.00,2_IMPRENTA_SIGLO_XXV.PDF,,2018-03-21,Activo
3,"RL 8235","Radio Lobo, S.A. de C.V.",AD097/19,"Sin orden de compra",2019,abril-junio,273539.21,47-RADIO_LOBO_S.A._DE_C.V..PDF,,2019-05-03,Activo
4,"RL 8231","Radio Lobo, S.A. de C.V.",AD097/19,"Sin orden de compra",2019,abril-junio,395912.00,48-RADIO_LOBO_S.A._DE_C.V..PDF,,2019-04-16,Activo
5,"CCH 2672","Comunicaciones Chihua, S.A. de C.V.",AD098/19,"Sin orden de compra",2019,abril-junio,251944.01,49-COMUNICACIONES_CHIHUA_S.A._DE_C.V..PDF,,2019-05-03,Activo
6,"CCH 2655","Comunicaciones Chihua, S.A. de C.V.",AD098/19,"Sin orden de compra",2019,abril-junio,387993.76,50-COMUNICACIONES_CHIHUA_S.A._DE_C.V..PDF,,2019-04-16,Activo
7,"IRCRF 98","Imagen Radio Comercial, S.A. de C.V.",AD099/19,"Sin orden de compra",2019,abril-junio,522000.00,51-IMAGEN_RADIO_COMERCIAL_S.A._DE_C.V..PDF,,2019-04-23,Activo
8,"IRCRF 118","Imagen Radio Comercial, S.A. de C.V.",AD099/19,"Sin orden de compra",2019,abril-junio,202710.00,52-IMAGEN_RADIO_COMERCIAL_S.A._DE_C.V..PDF,,2019-05-22,Activo
9,150D,"Jessica Arely Medina Valerio",AD100/19,"Sin orden de compra",2019,abril-junio,66000.00,53-JESSICA_ARELY_MEDINA_VALERIO.PDF,,2019-05-24,Activo
10,36C6,"Jessica Arely Medina Valerio",AD100/19,"Sin orden de compra",2019,abril-junio,90000.00,54-JESSICA_ARELY_MEDINA_VALERIO.PDF,,2019-04-22,Activo
11,-206,"Recuperadora Ambiental Del Norte S de Rl de Cv",AD101/19,"Sin orden de compra",2019,abril-junio,182000.00,55-RECUPERADORA_AMBIENTAN_DEL_NORTE_S._DE_R.L._DE_C.V..PDF,,2019-04-16,Activo
12,-208,"Recuperadora Ambiental Del Norte S de Rl de Cv",AD101/19,"Sin orden de compra",2019,abril-junio,84000.00,56-RECUPERADORA_AMBIENTAN_DEL_NORTE_S._DE_R.L._DE_C.V..PDF,,2019-05-22,Activo
13,175,"AA Print, S.A. de C.V.",AD102/19,"Sin orden de compra",2019,abril-junio,100000.00,57-AA_PRINT_S.A._DE_C.V..PDF,,2019-06-14,Activo
14,169,"AA Print, S.A. de C.V.",AD102/19,"Sin orden de compra",2019,abril-junio,500000.00,58-AA_PRINT_S.A._DE_C.V..PDF,,2019-05-02,Activo
15,"CAB - 14","Cabafam, S.A. de C.V.",AD103/19,"Sin orden de compra",2019,abril-junio,1113600.00,59-CABAFAM_S.A._DE_C.V..PDF,,2019-05-06,Activo
16,"CAB - 17","Cabafam, S.A. de C.V.",AD103/19,"Sin orden de compra",2019,abril-junio,485460.00,60-CABAFAM_S.A._DE_C.V..PDF,,2019-06-03,Activo
17,304,"El Pueblo Familiar, S.A. de C.V.",AD104/19,"Sin orden de compra",2019,abril-junio,96000.00,61-EL_PUEBLO_FAMILIAR_S.A._DE_C.V..PDF,,2019-04-17,Activo
18,310,"El Pueblo Familiar, S.A. de C.V.",AD104/19,"Sin orden de compra",2019,abril-junio,64000.00,62-EL_PUEBLO_FAMILIAR_S.A._DE_C.V..PDF,,2019-05-20,Activo
19,"B 391","Grupo Grg Efectimedios, S.A. de C.V.",AD107/19,"Sin orden de compra",2019,abril-junio,576000.00,63-GRUPO_GRG_EFECTIMEDIOS_S.A._DE_C.V..PDF,,2019-05-21,Activo
20,"B 389","Grupo Grg Efectimedios, S.A. de C.V.",AD107/19,"Sin orden de compra",2019,abril-junio,1344000.00,64-GRUPO_GRG_EFECTIMEDIOS_S.A._DE_C.V..PDF,,2019-04-30,Activo
21,GF-33737,"Televisora de Occidente, S.A. de C.V.",AD108/19,"Sin orden de compra",2019,abril-junio,2226330.00,,,2019-06-10,Activo
22,397,"Radioflash del Norte, S.A. de C.V.",AD109/19,"Sin orden de compra",2019,abril-junio,208034.00,66-RADIOFLASH_DEL_NORTE_S.A._DE_C.V..PDF,,2019-05-02,Activo
23,392,"Radioflash del Norte, S.A. de C.V.",AD109/19,"Sin orden de compra",2019,abril-junio,511560.00,67-RADIOFLASH_DEL_NORTE_S.A._DE_C.V..PDF,,2019-04-17,Activo
24,"A 2235","Radio Impulsora X.E.E., S.A",AD110/19,"Sin orden de compra",2019,abril-junio,326424.00,68-RADIO_IMPULSORA_X.E.E._S.A..PDF,,2019-04-17,Activo
25,"A 2239","Radio Impulsora X.E.E., S.A",AD110/19,"Sin orden de compra",2019,abril-junio,273263.52,69-RADIO_IMPULSORA_X.E.E._S.A..PDF,,2019-05-03,Activo
26,6,www.lajiribilla.com.mx,AD113/19,"Sin orden de compra",2019,abril-junio,40000.00,70-AURORA_MONTERDE_FERNANDEZ.PDF,,2019-06-28,Activo
27,3,www.lajiribilla.com.mx,AD113/19,"Sin orden de compra",2019,abril-junio,80000.00,71-AURORA_MONTERDE_FERNANDEZ.PDF,,2019-04-29,Activo
28,313,"Nueva Línea Comunicación, S.C.",AD116/19,"Sin orden de compra",2019,abril-junio,50049.23,72-NUEVA_LINEA_COMUNICACION_S.C..PDF,,2019-05-29,Activo
29,308,"Nueva Línea Comunicación, S.C.",AD116/19,"Sin orden de compra",2019,abril-junio,120248.15,73-NUEVA_LINEA_COMUNICACION_S.C..PDF,,2019-04-24,Activo
30,d152,"NN NUESTRAS NOTICIAS",AD117/19,"Sin orden de compra",2019,abril-junio,49286.70,74-FRANCISCO_JOSE_ALVAREZ_ITUARTE.PDF,,2019-05-16,Activo
31,5de4,"NN NUESTRAS NOTICIAS",AD117/19,"Sin orden de compra",2019,abril-junio,131431.20,75-FRANCISCO_JOSE_ALVAREZ_ITUARTE.PDF,,2019-04-17,Activo
32,432,"Merboca, S.A. de C.V.",AD120/19,"Sin orden de compra",2019,abril-junio,116000.00,76-MERBOCA_S.A._DE_C.V..PDF,,2019-06-10,Activo
33,418,"Merboca, S.A. de C.V.",AD120/19,"Sin orden de compra",2019,abril-junio,116000.00,77-MERBOCA_S.A._DE_C.V..PDF,,2019-04-30,Activo
34,255,"Consultores en Comunicación y Medios Masivos, S.A. de C.V.",AD121/19,"Sin orden de compra",2019,abril-junio,211700.00,78-CONSULTORES_EN_COMUNICACION_Y_MEDIOS_MASIVOS_S.A._DE_C.V..PDF,,2019-06-10,Activo
35,252,"Consultores en Comunicación y Medios Masivos, S.A. de C.V.",AD121/19,"Sin orden de compra",2019,abril-junio,509600.22,79-CONSULTORES_EN_COMUNICACION_Y_MEDIOS_MASIVOS_S.A._DE_C.V..PDF,,2019-04-30,Activo
36,A-150,"Comercializadora Imation, S.A. de C.V.",AD123/19,"Sin orden de compra",2019,abril-junio,548100.00,80-COMERCIALIZADORA_IMATION_S.A._DE_C.V..PDF,,2019-05-07,Activo
37,A-189,"Comercializadora Imation, S.A. de C.V.",AD123/19,"Sin orden de compra",2019,abril-junio,243600.00,81-COMERCIALIZADORA_IMATION_S.A._DE_C.V..PDF,,2019-06-04,Activo
38,310-1*,"ASERTO RADIO",AD125/19,"Sin orden de compra",2019,abril-junio,67999.00,82-LUIS_JAVIER_VALERO_FLORES.PDF,,2019-05-06,Activo
39,312,"ASERTO RADIO",AD125/19,"Sin orden de compra",2019,abril-junio,31959.53,83-LUIS_JAVIER_VALERO_FLORES.PDF,,2019-06-21,Activo
40,272,"Periodismo Referente, S. de R.L. de C.V.",AD127/19,"Sin orden de compra",2019,abril-junio,210000.00,84-PERIODISMO_REFERENTE_S._DE_R.L._DE_C.V..PDF,,2019-04-30,Activo
41,279,"Periodismo Referente, S. de R.L. de C.V.",AD127/19,"Sin orden de compra",2019,abril-junio,100000.00,85-PERIODISMO_REFERENTE_S._DE_R.L._DE_C.V..PDF,,2019-06-12,Activo
42,32,www.elpuntero.com.mx,AD128/19,"Sin orden de compra",2019,abril-junio,60000.00,86-XOCHITL_JASMIN_GARCIA_GOMEZ.PDF,,2019-05-06,Activo
43,30,www.elpuntero.com.mx,AD128/19,"Sin orden de compra",2019,abril-junio,130000.00,87-XOCHITL_JASMIN_GARCIA_GOMEZ.PDF,,2019-04-29,Activo
44,"A 54","""Plan de vuelo"", Radio 102.5 FM",AD129/19,"Sin orden de compra",2019,abril-junio,120000.00,88-RUBEN_EDUARDO_MALDONADO_CHAVEZ.PDF,,2019-05-19,Activo
45,154,"""Expectativa Noticias""",AD132/19,"Sin orden de compra",2019,abril-junio,39150.00,5f1500dd94546_93-VICTOR_HUGO_VALLES_RIVAS.PDF,,2019-06-17,Activo
46,"A 58","""Plan de vuelo"", Radio 102.5 FM",AD129/19,"Sin orden de compra",2019,abril-junio,47400.00,89-RUBEN_EDUARDO_MALDONADO_CHAVEZ.PDF,,2019-06-03,Activo
47,49,"Programa CONTRASTE",AD130/19,"Sin orden de compra",2019,abril-junio,21998.24,90-ANGELICA_DELGADO_CANO.PDF,,2019-06-17,Activo
48,40,"Programa CONTRASTE",AD130/19,"Sin orden de compra",2019,abril-junio,89998.20,91-ANGELICA_DELGADO_CANO.PDF,,2019-05-20,Activo
49,150,"""Expectativa Noticias""",AD132/19,"Sin orden de compra",2019,abril-junio,152250.00,94-VICTOR_HUGO_VALLES_RIVAS.PDF,,2019-05-21,Activo
50,24,noticiasaldia.com.mx,AD136/19,"Sin orden de compra",2019,abril-junio,35800.00,97-HECTOR_MANUEL_BERNAL_AMEZCUA.PDF,,2019-05-18,Activo
51,25,noticiasaldia.com.mx,AD136/19,"Sin orden de compra",2019,abril-junio,25800.00,98-HECTOR_MANUEL_BERNAL_AMEZCUA.PDF,,2019-06-01,Activo
52,321,"El Pueblo Familiar, S.A. de C.V.",AD203/19,"Sin orden de compra",2019,octubre-diciembre,120000.00,138_EL_PUEBLO_FAMILIAR.PDF,,2019-10-14,Activo
53,34,"Analistas del Florido, S.A. de C.V.",AD202/19,"Sin orden de compra",2019,octubre-diciembre,95999.76,136_ANALISTAS_DEL_FLORIDO.PDF,,2019-10-28,Activo
54,36,"Analistas del Florido, S.A. de C.V.",AD202/19,"Sin orden de compra",2019,octubre-diciembre,47996.16,137_ANALISTAS_DEL_FLORIDO.PDF,,2019-11-18,Activo
55,EH6565,"Tv Azteca, S.A.B. de C.V.",AD197/19,"Sin orden de compra",2019,octubre-diciembre,957000.00,134_TV_AZTECA.PDF,,2019-10-31,Activo
56,EH6591,"Tv Azteca, S.A.B. de C.V.",AD197/19,"Sin orden de compra",2019,octubre-diciembre,486000.00,135_TV_AZTECA.PDF,,2019-11-15,Activo
57,GF-34815,"Televisora de Occidente, S.A. de C.V.",AD193/19,"Sin orden de compra",2019,octubre-diciembre,1251964.00,132_TELEVISORA_DE_OCCIDENTE.PDF,,2019-11-15,Activo
58,GF-34425,"Televisora de Occidente, S.A. de C.V.",AD193/19,"Sin orden de compra",2019,octubre-diciembre,2088000.00,108_TELEVISORA_DE_OCCIDENTE.PDF,,2019-09-27,Activo
59,577,"Omnia Comunicaciones, S. de R.L. de C.V.",AD268/19,"Sin orden de compra",2019,julio-septiembre,149999.99,131_OMNIA_COMUNICACIONES.PDF,,2019-09-19,Activo
60,2060,"Editorial E Imagen Publica, S.A. de C.V.",AD259/19,"Sin orden de compra",2019,julio-septiembre,87999.98,130_EDITORIAL_E_IMAGEN_PUBLICA.PDF,,2019-09-04,Activo
61,319,"El Pueblo Familiar, S.A. de C.V.",AD255/19,"Sin orden de compra",2019,julio-septiembre,160000.00,129_EL_PUEBLO_FAMILIAR.PDF,,2019-09-19,Activo
62,A-337,"Comercializadora Imation, S.A. de C.V.",AD254/19,"Sin orden de compra",2019,julio-septiembre,835200.00,128_COMERCIALIZADORA_IMATION.PDF,,2019-09-27,Activo
