#,"ID Detalle Factura","Número de factura","Campaña o aviso institucional","Nombre campaña o aviso institucional","Clasificación del servicio","Categoría del servicio","Subcategoría del servicio",Unidad,"Sujeto obligado contratante","Partida contratante","Sujeto obligado solicitante","Partida solicitante","Área administrativa solicitante","Descripción del servicio o producto adquirido",Cantidad,"Precio unitario con I.V.A incluido",Monto,Estatus
1,5,A672,Campañas,"AMPLIACIÓN SACRAMENTO/ MPIO CONECTA/ LIMPIANDO TU COL/ ACTIVATE CHIH/ 0","Servicios de difusión en medios de comunicación",Internet,"Medios Digitales",Banner,Chihuahua,36101,Chihuahua,,"Unidad Administrativa  de Comunicación Social ","Banner con link ala pagina digtal del municipio.",11.00,23200.00,255200.00,Activo
2,6,242,Campañas," DISTRIBUIDOR HOMERO ","Servicios de difusión en medios de comunicación",Radio,"Radiodifusoras locales",Spot,Chihuahua,36102,Chihuahua,,"Unidad Administrativa  de Comunicación Social ","Spot en radio.",9.00,190.01,1710.09,Activo
3,7,-337,Campañas,"PLAN DE DESARROLLO MUNICIPAL","Servicios de difusión en medios de comunicación",Radio,"Radiodifusoras locales",Spot,Chihuahua,36102,Chihuahua,,"Unidad administrativa de comunicación social ","Spot en radio ",1.00,175392.00,175392.00,Activo
4,8,338,Campañas,"MENCIONES DE DESCENSO DE TEMPERATURAS","Servicios de difusión en medios de comunicación",Radio,"Radiodifusoras locales",Spot,Chihuahua,36102,Chihuahua,,"unidad administrativa de comunicación social ","Spot en radio ",1.00,56840.00,56840.00,Activo
5,9,338,Campañas,"ALERTAS CLIMÁTICAS","Servicios de difusión en medios de comunicación",Radio,"Radiodifusoras locales",Spot,Chihuahua,36102,Chihuahua,,"Unidad administrativa de comunicación social ","Spot en radio ",1.00,168084.00,168084.00,Activo
6,10,242,Campañas,"Campaña El Predial","Servicios de difusión en medios de comunicación",Radio,"Radiodifusoras locales",Spot,Chihuahua,36102,Chihuahua,,"Unidad Administrativa  de Comunicación Social ","Spot en radio.",64.00,280.00,17920.00,Activo
7,11,"RL 7935",Campañas,"PLAN DE DESARROLLO MUNICIPAL","Servicios de difusión en medios de comunicación",Radio,"Radiodifusoras locales",Spot,Chihuahua,36102,Chihuahua,,"Unidad administrativa de comunicación social ","Spot en radio ",542.00,719.84,390153.28,Activo
8,12,"RL 7935",Campañas,"ALERTAS CLIMÁTICAS","Servicios de difusión en medios de comunicación",Radio,"Radiodifusoras locales",Spot,Chihuahua,36102,Chihuahua,,"Unidad administrativa de comunicación social ","Spot en radio ",125.00,479.89,59986.25,Activo
9,13,"RL 7960",Campañas,"PLAN DE DESARROLLO MUNICIPAL","Servicios de difusión en medios de comunicación",Radio,"Radiodifusoras locales",Spot,Chihuahua,36102,Chihuahua,,"Unidad administrativa de comunicación social ","Spot en radio ",430.00,719.84,309531.20,Activo
10,14,"RL 7960",Campañas,"ALERTAS CLIMÁTICAS","Servicios de difusión en medios de comunicación",Radio,"Radiodifusoras locales",Spot,Chihuahua,36102,Chihuahua,,"Unidad administrativa de comunicación social ","Spot en radio ",114.00,479.89,54707.46,Activo
