#,Ejercicio,Proveedor,Contratos,"Órdenes de compra","Monto total pagado"
0,2020,"Fénix Comunicaciones, S.A. de C.V.",1,0,"$ 120,000.00"
1,2020,"Periodico Digital Sendero, S.A.P.I. de C.V.",1,0,"$ 320,000.00"
2,2020,"Periodismo Referente, S. de R.L. de C.V.",1,0,"$ 359,590.00"
3,2020,"Programa CONTRASTE",1,0,"$ 191,520.00"
4,2020,"Cazonci Editores, S.A. de C.V.",1,0,"$ 144,000.00"
5,2020,"Multimedios, S.A. de C.V.",2,0,"$ 3,456,452.01"
6,2020,"ASERTO RADIO",1,0,"$ 119,999.96"
7,2020,"Radioflash del Norte, S.A. de C.V.",1,0,"$ 413,144.00"
8,2020,"La Ventana del Juicio.mx",1,0,"$ 110,999.99"
9,2020,"Tv Azteca, S.A.B. de C.V.",1,0,"$ 1,919,742.00"
10,2020,"Comercializadora Imation, S.A. de C.V.",1,0,"$ 1,000,000.00"
11,2020,"""No le cambie""",1,0,"$ 399,999.99"
12,2020,"Porlalibre, S.A. de C.V.",1,0,"$ 278,400.00"
13,2020,www.todoespolitica.com.mx,1,0,"$ 235,712.00"
14,2020,www.elpuntero.com.mx,1,0,"$ 222,100.00"
15,2020,"Imprenta Siglo XXV, S.A. de C.V.",1,0,"$ 3,105,273.60"
16,2020,"Cia. Periodística El Sol de Chihuahua, S.A. de C.V.",2,0,"$ 7,989,999.99"
17,2020,"Now New Media S.A.P.I de C.V.",1,0,"$ 320,000.00"
18,2020,"Comunicaciones Chihua, S.A. de C.V.",1,0,"$ 670,209.72"
19,2020,WWW.PAUSA.MX,1,0,"$ 69,120.00"
20,2020,alinstante.com.mx,1,0,"$ 209,728.00"
21,2020,"Recuperadora Ambiental Del Norte S de Rl de Cv",1,0,"$ 900,480.00"
22,2020,"Publicaciones del Chuviscar, S.A. de C.V.",2,0,"$ 5,249,999.00"
23,2020,"Editorial E Imagen Publica, S.A. de C.V.",1,0,"$ 212,090.00"
24,2020,"Expansión, S.A. de C.V.",1,0,"$ 400,000.00"
25,2020,www.circulorojo.com.mx,1,0,"$ 216,000.00"
26,2020,"Radio Lobo, S.A. de C.V.",1,0,"$ 821,375.92"
27,2020,"El Pueblo Familiar, S.A. de C.V.",2,0,"$ 396,000.00"
28,2020,"Plataforma en Difusión, S.A. de C.V.",1,0,"$ 370,000.00"
29,2020,WWW.ADRIANARUIZ.COM.MX,1,0,"$ 360,000.00"
30,2020,"""Plan de vuelo"", Radio 102.5 FM",1,0,"$ 174,000.00"
31,2020,www.lajiribilla.com.mx,1,0,"$ 144,000.00"
32,2020,alcontacto.com.mx,1,0,"$ 278,000.00"
33,2020,"Cabafam, S.A. de C.V.",1,0,"$ 1,856,000.00"
34,2020,"Merboca, S.A. de C.V.",1,0,"$ 361,919.99"
35,2020,www.platicachihuahua.com,1,0,"$ 32,000.00"
36,2020,"Omnia Comunicaciones, S. de R.L. de C.V.",1,0,"$ 147,000.00"
37,2020,"NN NUESTRAS NOTICIAS",1,0,"$ 253,417.08"
38,2020,"Televisora de Occidente, S.A. de C.V.",1,0,"$ 2,521,611.80"
39,2020,"Imagen Radio Comercial, S.A. de C.V.",1,0,"$ 859,995.00"
40,2020,noticiasaldia.com.mx,1,0,"$ 74,880.00"
41,2020,"Radio Juarense, S.A. de C.V.",1,0,"$ 167,968.00"
42,2020,"Unidad Corporativa de Televisión, S.A. de C.V.",1,0,"$ 3,871,500.00"
43,2020,www.lavisiondechihuahua.com,1,0,"$ 192,000.00"
44,2020,"Promotora de Radio de Chihuahua, S.A. de C.V.",1,0,"$ 959,665.68"
45,2020,elresumen.net,1,0,"$ 57,600.00"
46,2020,"""Expectativa Noticias""",1,0,"$ 239,250.00"
47,2020,"Jessica Arely Medina Valerio",1,0,"$ 190,080.00"
48,2020,"Periódicos Digitales de Chihuahua, S.A. de C.V.",1,0,"$ 124,799.99"
49,2020,"Consultores en Comunicación y Medios Masivos, S.A. de C.V.",1,0,"$ 839,100.00"
50,2020,www.noticiaschihuahua.mx,1,0,"$ 278,400.00"
51,2020,"Radio Impulsora X.E.E., S.A",1,0,"$ 635,829.65"
52,2020,"SUEÑOS y REALIDADES",1,0,"$ 46,799.99"
53,2020,"Radio América de México, S.A. de C.V.",1,0,"$ 333,935.40"
54,2020,"Enconcreto, CIDECH, y FINGUACH",1,0,"$ 72,570.00"
55,2020,"Comercializadora Tosgon, S.A. de C.V.",1,0,"$ 288,000.00"
56,2020,"NOTICIERO CHIHUAHUA DIGITAL",1,0,"$ 268,192.00"
57,2020,"Nueva Línea Comunicación, S.C.",1,0,"$ 189,796.88"
58,2020,"AA Print, S.A. de C.V.",1,0,"$ 999,999.99"
