#,Ejercicio,Factura,Fecha,Proveedor,Clasificación,Categoría,Subcategoría,Tipo,"Campaña o aviso","Monto gastado"
1,2020,"A 228",27.04.2020,www.circulorojo.com.mx,"Servicios de difusión en medios de comunicación",Internet,"Medios Digitales",Campañas,"UTILIZA CUBRE BOCAS","$ 74,240.00"
2,2020,5029,27.04.2020,www.platicachihuahua.com,"Servicios de difusión en medios de comunicación",Internet,"Medios Digitales","SIN ESPECIFICAR","SIN ESPECIFICAR","$ 32,000.00"
3,2020,251,19.06.2020,elresumen.net,"Servicios de difusión en medios de comunicación",Internet,"Medios Digitales",Campañas,DESPENSAS,"$ 40,200.00"
4,2020,16,15.06.2020,"Unidad Corporativa de Televisión, S.A. de C.V.","Servicios de difusión en medios de comunicación",Televisión,"Televisión abierta local",Campañas,"PREDIAL ENERO 2020","$ 2,322,900.00"
5,2020,"A 2455",15.06.2020,"Radio Impulsora X.E.E., S.A","Servicios de difusión en medios de comunicación",Radio,"Radiodifusoras locales",Campañas,DESPENSAS,"$ 380,329.79"
6,2020,"A 648",27.04.2020,"Omnia Comunicaciones, S. de R.L. de C.V.","Servicios de difusión en medios de comunicación",Internet,"Medios Digitales","Avisos Institucionales","BECAS ACADÉMICAS 20","$ 49,000.00"
7,2020,2252,14.05.2020,"Cazonci Editores, S.A. de C.V.","Servicios de difusión en medios de comunicación","Medios impresos",Revistas,Campañas,"Conmemoración del día de la mujer","$ 144,000.00"
8,2020,"CCH 3258",22.04.2020,"Comunicaciones Chihua, S.A. de C.V.","Servicios de difusión en medios de comunicación",Radio,"Radiodifusoras locales",Campañas,"PREVENCIÓN COVID V2","$ 264,537.42"
9,2020,4,15.06.2020,"""Expectativa Noticias""","Servicios de difusión en medios de comunicación",Internet,"Medios Digitales",Campañas,"QUÉDATE EN CASA","$ 117,450.00"
10,2020,410,18.06.2020,WWW.PAUSA.MX,"Servicios de difusión en medios de comunicación",Internet,"Medios Digitales","Avisos Institucionales","ORIENTACIÓN Y MEDIDAS DEL COVID 19","$ 19,008.00"
11,2020,EA7D,27.04.2020,WWW.ADRIANARUIZ.COM.MX,"Servicios de difusión en medios de comunicación",Internet,"Medios Digitales",Campañas,"FRENTE AL COVID19","$ 145,000.00"
12,2020,9E92,27.04.2020,"NOTICIERO CHIHUAHUA DIGITAL","Servicios de difusión en medios de comunicación",Televisión,"Televisión abierta local",Campañas,"Cont  centro de orientacion medica y ps","$ 106,720.00"
13,2020,S2917,19.06.2020,"Periodico Digital Sendero, S.A.P.I. de C.V.","Servicios de difusión en medios de comunicación",Internet,"Medios Digitales",Campañas,OBRAS,"$ 320,000.00"
14,2020,"NLC 365",16.06.2020,"Nueva Línea Comunicación, S.C.","Servicios de difusión en medios de comunicación",Radio,"Radiodifusoras locales",Campañas,"QUÉDATE EN CASA","$ 111,079.28"
