#,Ejercicio,Trimestre,Tipo,"Nombre de la campaña o aviso institucional",Contratante,Solicitante,"Tiempo oficial","Monto total ejercido"
1,2019,abril-junio,"Avisos Institucionales","predial obras juntos , por tu seguridad ,becas   juntos una mejor ciudad",Chihuahua,Chihuahua,"Tiempo fiscal","$ 20,500.00"
2,2019,abril-junio,"Avisos Institucionales","Predial becas  chihuahua	",Chihuahua,Chihuahua,"Tiempo fiscal","$ 0.00"
3,2019,abril-junio,"Avisos Institucionales","licitacion o.m. 20/19	",Chihuahua,Chihuahua,"Tiempo fiscal","$ 0.00"
4,2019,abril-junio,"Avisos Institucionales","felicitacion premio lo mejor de mi ciudad",Chihuahua,Chihuahua,"Tiempo fiscal","$ 0.00"
5,2019,abril-junio,"Avisos Institucionales","Conv. obra publica dopm-01-19	",Chihuahua,Chihuahua,"Tiempo fiscal","$ 0.00"
6,2019,abril-junio,"Avisos Institucionales","con la aap mía chihuahua",Chihuahua,Chihuahua,"Tiempo fiscal","$ 0.00"
7,2019,abril-junio,"Avisos Institucionales","1/4licitacion  om 24/2019 bis - oficialia mayor	",Chihuahua,Chihuahua,"Tiempo fiscal","$ 0.00"
8,2019,octubre-diciembre,"Avisos Institucionales","tarjeta de mi apoyo y mi bienestar condonacion de los recargos del predial",Chihuahua,Chihuahua,"Tiempo fiscal","$ 80,000.00"
9,2019,octubre-diciembre,"Avisos Institucionales","LOGROS / CONDONACION DE RECARGOS PREDIAL ",Chihuahua,Chihuahua,"Tiempo fiscal","$ 0.00"
10,2018,octubre-diciembre,"Avisos Institucionales","LICITACIÓN 04/2018 IMPE BYN",Chihuahua,Chihuahua,"Tiempo fiscal","$ 0.00"
11,2019,octubre-diciembre,"Avisos Institucionales","ficuu .condonacion del los recargos del predial",Chihuahua,Chihuahua,"Tiempo fiscal","$ 0.00"
12,2018,octubre-diciembre,"Avisos Institucionales","1/4PUB. DE LICITACIÓN PÚBLICA O4/18 OFICIALÍA",Chihuahua,Chihuahua,"Tiempo fiscal","$ 0.00"
13,2018,octubre-diciembre,"Avisos Institucionales","1/4PUB DE CONCURSO DE FOTOGRÁFICA/DIRECCIÓN DE DES. ECONÓMICO Y TURÍSTICO",Chihuahua,Chihuahua,"Tiempo fiscal","$ 0.00"
14,2018,octubre-diciembre,"Avisos Institucionales","1/4 PUB. DE DOJA DE CARRERA RETO LLENA TU BOLSA/DIRECCIÓN DE DESARROLLO URBANO Y ECOLOGÍA",Chihuahua,Chihuahua,"Tiempo fiscal","$ 0.00"
15,2019,abril-junio,"Avisos Institucionales","publicación de predial obra/ tesoreria, status	",Chihuahua,Chihuahua,"Tiempo fiscal","$ 0.00"
16,2019,abril-junio,"Avisos Institucionales","Predial luminarias trubo glorietas	",Chihuahua,Chihuahua,"Tiempo fiscal","$ 0.00"
17,2019,abril-junio,"Avisos Institucionales","lpicm 01/19",Chihuahua,Chihuahua,"Tiempo fiscal","$ 0.00"
18,2019,abril-junio,"Avisos Institucionales","LICITACION IMPE/LP/02/2018BIS",Chihuahua,Chihuahua,"Tiempo fiscal","$ 0.00"
19,2019,abril-junio,"Avisos Institucionales","Descuentos del predial de Febrero",Chihuahua,Chihuahua,"Tiempo fiscal","$ 84,000.00"
20,2019,abril-junio,"Avisos Institucionales","conv. bomberos	",Chihuahua,Chihuahua,"Tiempo fiscal","$ 0.00"
21,2019,abril-junio,"Avisos Institucionales","Becas de transporte",Chihuahua,Chihuahua,"Tiempo fiscal","$ 0.00"
22,2019,octubre-diciembre,"Avisos Institucionales","TARJERA DE LA MUJER/ CONDONACIÓN DE RECARGOS DEL PREDIAL",Chihuahua,Chihuahua,"Tiempo fiscal","$ 0.00"
23,2019,octubre-diciembre,"Avisos Institucionales","FICUUcondonación del los recargos del predial",Chihuahua,Chihuahua,"Tiempo fiscal","$ 0.00"
24,2018,octubre-diciembre,"Avisos Institucionales","CORTE DEL MES NOVIEMBRE",Chihuahua,Chihuahua,"Tiempo fiscal","$ 0.00"
25,2018,octubre-diciembre,"Avisos Institucionales","1/4PUB. DE LICITACIÓN PÚBLICA O.M 64/18 OFICIALÍA",Chihuahua,Chihuahua,"Tiempo fiscal","$ 0.00"
26,2018,octubre-diciembre,"Avisos Institucionales","1/4 PUB. PROYECTOS/DIRECCIÓN DE DES. ECONÓMICO Y TURISMO",Chihuahua,Chihuahua,"Tiempo fiscal","$ 0.00"
27,2018,octubre-diciembre,"Avisos Institucionales","1/4 PUB. DE CIERRE TURBO GLORIETAS/OBRAS PÚBLICAS",Chihuahua,Chihuahua,"Tiempo fiscal","$ 0.00"
28,2019,abril-junio,"Avisos Institucionales","PUBLICACIÓN DE CONVOCATORIA ADULTO MAYOR",Chihuahua,Chihuahua,"Tiempo fiscal","$ 0.00"
29,2019,abril-junio,"Avisos Institucionales","predial des de marzo	",Chihuahua,Chihuahua,"Tiempo fiscal","$ 0.00"
30,2019,abril-junio,"Avisos Institucionales","licitacion publica o.m 26/19",Chihuahua,Chihuahua,"Tiempo fiscal","$ 0.00"
31,2019,abril-junio,"Avisos Institucionales","iniciamos la construcción turbo   las molestias  son temporales  y los beneficios permanentes",Chihuahua,Chihuahua,"Tiempo fiscal","$ 0.00"
32,2019,abril-junio,"Avisos Institucionales","Corte del mes de marzo	",Chihuahua,Chihuahua,"Tiempo fiscal","$ 0.00"
33,2019,abril-junio,"Avisos Institucionales","conectate escudo chihuahua",Chihuahua,Chihuahua,"Tiempo fiscal","$ 0.00"
34,2019,abril-junio,"Avisos Institucionales","Becas , con la aap mía Chihuahua	",Chihuahua,Chihuahua,"Tiempo fiscal","$ 0.00"
35,2019,octubre-diciembre,"Avisos Institucionales","LOGROS/ CONDONACIÓN DE RECARGOS PREDIAL",Chihuahua,Chihuahua,"Tiempo fiscal","$ 0.00"
36,2018,octubre-diciembre,"Avisos Institucionales","P1/4UB. DE LICITACIÓN PÚBLICA O.M 69/18 OFICIALÍA MAYOR",Chihuahua,Chihuahua,"Tiempo fiscal","$ 0.00"
37,2019,octubre-diciembre,"Avisos Institucionales","FICUU. CONDONACIÓN DEL LOS RECARGOS DEL PREDIAL",Chihuahua,Chihuahua,"Tiempo fiscal","$ 29,521.40"
38,2018,octubre-diciembre,"Avisos Institucionales","1/4PUB. LICITACIÓN PUB. O.M 50/18 OFICIALÍA MAYOR",Chihuahua,Chihuahua,"Tiempo fiscal","$ 445,044.28"
39,2018,octubre-diciembre,"Avisos Institucionales","1/4PUB. DE CIERRE PARCIAL DE LA CANTERA/DIREC. DE MTTO URBANO",Chihuahua,Chihuahua,"Tiempo fiscal","$ 0.00"
40,2018,octubre-diciembre,"Avisos Institucionales","1/4 PUB. DE LICITACIÓN PÚBLICA O.M 62/18 OFICIALÍA",Chihuahua,Chihuahua,"Tiempo fiscal","$ 0.00"
41,2018,octubre-diciembre,"Avisos Institucionales","1/4 PUB LICITACIÓN FERIA DE SALUD PARA LA MUJER/IMM",Chihuahua,Chihuahua,"Tiempo fiscal","$ 0.00"
42,2019,octubre-diciembre,"Avisos Institucionales","condonación de recargos del predialseguridad  gaza universitaria",Chihuahua,Chihuahua,"Tiempo fiscal","$ 0.00"
43,2019,octubre-diciembre,"Avisos Institucionales","condonación de recargos del predial logros de gobiernos municipal, tarjetas de mi  apoyo  mi bienestar",Chihuahua,Chihuahua,"Tiempo fiscal","$ 0.00"
44,2019,julio-septiembre,"Avisos Institucionales","abre tu empresa	",Chihuahua,Chihuahua,"Tiempo fiscal","$ 197,300.00"
45,2019,octubre-diciembre,"Avisos Institucionales","condonación de recargos del predialcierre de la gaza de la universidad  tarjeta de la mujer",Chihuahua,Chihuahua,"Tiempo fiscal","$ 0.00"
46,2019,octubre-diciembre,"Avisos Institucionales","CONDOCACIÓN DE RECARGOS DEL PREDIAL/ TRABAJANDO CUMPLIMOS/ SERVICIOS EN LAS COLONIAS",Chihuahua,Chihuahua,"Tiempo fiscal","$ 0.00"
47,2019,julio-septiembre,"Avisos Institucionales","Premio mpio a la juv. Agustín melgar 2019",Chihuahua,Chihuahua,"Tiempo fiscal","$ 770,000.00"
48,2018,enero-marzo,"Avisos Institucionales",PRUEBA,Chihuahua,Chihuahua,"Tiempo fiscal","$ 0.00"
49,2019,abril-junio,"Avisos Institucionales","Turbo glorieta/app mía y marca el cambio/ becas/ conectar cámaras",Chihuahua,Chihuahua,"Tiempo fiscal","$ 694,448.15"
50,2019,octubre-diciembre,"Avisos Institucionales","CONDONACIÓN DE RECARGOS DEL PREDIAL/ CONDONACIÓN DEL PREDIAL DE AÑOS ANTERIORES",Chihuahua,Chihuahua,"Tiempo fiscal","$ 0.00"
51,2019,julio-septiembre,"Avisos Institucionales","Condolecía lic. armando herrera	",Chihuahua,Chihuahua,"Tiempo fiscal","$ 0.00"
52,2019,abril-junio,"Avisos Institucionales","Resultados becas académicas, rurales y deportivas	",Chihuahua,Chihuahua,"Tiempo fiscal","$ 0.00"
53,2018,octubre-diciembre,"Avisos Institucionales","1/4PUB. PREMIO MUNICIPAL TEPORACA/IMCFD",Chihuahua,Chihuahua,"Tiempo fiscal","$ 0.00"
54,2018,octubre-diciembre,"Avisos Institucionales","1/4PUB. DE CIERRE POR CONSTRUCCIÓN SEG. ETAPA DRENAJE/OBRAS PÚBLICAS",Chihuahua,Chihuahua,"Tiempo fiscal","$ 0.00"
55,2018,octubre-diciembre,"Avisos Institucionales","1/4 PUB. DE PROGRAMA DE ACOMPAÑAMIENTO BANCARIO/DIR. DE SEG PÚBLICA",Chihuahua,Chihuahua,"Tiempo fiscal","$ 0.00"
56,2018,octubre-diciembre,"Avisos Institucionales","1/4 PUB LICITACIÓN OM046/18 BIS OFICIALÍA MAYOR",Chihuahua,Chihuahua,"Tiempo fiscal","$ 0.00"
57,2019,abril-junio,"Avisos Institucionales","Predial obras predial de marzo	",Chihuahua,Chihuahua,"Tiempo fiscal","$ 0.00"
58,2019,abril-junio,"Avisos Institucionales","predial becas  iluminemos chihuahua	",Chihuahua,Chihuahua,"Tiempo fiscal","$ 96,000.00"
59,2019,abril-junio,"Avisos Institucionales","licitacion o.m. 21/19	",Chihuahua,Chihuahua,"Tiempo fiscal","$ 0.00"
60,2019,abril-junio,"Avisos Institucionales","felicitacion premios cirt 2019",Chihuahua,Chihuahua,"Tiempo fiscal","$ 0.00"
