#,Ejercicio,Trimestre,Proveedor,"Clave única",Fecha,"Monto total"
1,2018,enero-marzo,"Recuperadora Ambiental Del Norte S de Rl de Cv",-191,2018-03-26,"$ 112,000.00"
2,2018,enero-marzo,"Recuperadora Ambiental Del Norte S de Rl de Cv",-192,2018-03-06,"$ 140,000.00"
3,2018,enero-marzo,"Recuperadora Ambiental Del Norte S de Rl de Cv",-193,2018-03-26,"$ 84,000.00"
4,2018,enero-marzo,"Periodismo Referente, S. de R.L. de C.V.",-235,2018-03-27,"$ 143,520.00"
5,2018,enero-marzo,"Periodismo Referente, S. de R.L. de C.V.",-236,2018-03-27,"$ 109,700.00"
6,2018,enero-marzo,www.elpuntero.com.mx,-24,2018-03-27,"$ 49,800.01"
7,2018,enero-marzo,www.elpuntero.com.mx,-25,2018-03-27,"$ 69,800.01"
8,2018,enero-marzo,"Especialistas en Comunicación Integral, S.A. de C.V.",-334,2018-03-28,"$ 46,800.00"
9,2018,enero-marzo,"Especialistas en Comunicación Integral, S.A. de C.V.",-335,2018-03-28,"$ 74,990.00"
10,2018,enero-marzo,"""Expectativa Noticias""",001,2018-03-26,"$ 65,250.00"
11,2018,enero-marzo,"Unidad Corporativa de Televisión, S.A. de C.V.",01,2018-02-26,"$ 630,750.00"
12,2018,enero-marzo,"""Expectativa Noticias""",02,2018-03-26,"$ 94,250.00"
13,2018,enero-marzo,"""Expectativa Noticias""",03,2018-03-26,"$ 39,949.88"
14,2018,enero-marzo,WWW.ADRIANARUIZ.COM.MX,04FB,2018-03-26,"$ 25,000.00"
15,2018,enero-marzo,NOTITODO,05DF,2018-03-26,"$ 28,900.00"
16,2018,enero-marzo,"Imagen Radio Comercial, S.A. de C.V.",1000,2018-03-30,"$ 269,700.00"
17,2018,enero-marzo,"Imagen Radio Comercial, S.A. de C.V.",1001,2018-03-30,"$ 267,150.00"
18,2018,enero-marzo,"Analistas del Florido, S.A. de C.V.",12,2018-03-28,"$ 33,332.00"
19,2018,enero-marzo,"LA PARADA DIGITAL",125,2018-03-27,"$ 41,700.00"
20,2018,enero-marzo,"LA PARADA DIGITAL",126,2018-03-27,"$ 41,700.00"
21,2018,enero-marzo,"LA PARADA DIGITAL",127,2018-03-28,"$ 41,600.00"
22,2018,enero-marzo,"Analistas del Florido, S.A. de C.V.",13,2018-03-28,"$ 49,998.00"
23,2018,enero-marzo,"AA Print, S.A. de C.V.",132,2018-03-22,"$ 175,000.00"
24,2018,enero-marzo,"AA Print, S.A. de C.V.",133,2018-03-27,"$ 99,999.96"
25,2018,enero-marzo,"AA Print, S.A. de C.V.",134,2018-03-27,"$ 74,999.97"
26,2018,enero-marzo,"Analistas del Florido, S.A. de C.V.",14,2018-03-28,"$ 66,664.00"
27,2018,enero-marzo,elresumen.net,161,2018-03-27,"$ 20,000.00"
28,2018,enero-marzo,elresumen.net,162,2018-03-27,"$ 20,000.00"
29,2018,enero-marzo,elresumen.net,163,2018-03-27,"$ 10,000.00"
30,2018,enero-marzo,"Editorial E Imagen Publica, S.A. de C.V.",1664,2018-03-27,"$ 98,600.00"
31,2018,enero-marzo,"Editorial E Imagen Publica, S.A. de C.V.",1665,2018-03-27,"$ 95,000.00"
32,2018,enero-marzo,"Editorial E Imagen Publica, S.A. de C.V.",1667,2018-03-27,"$ 157,083.33"
33,2018,enero-marzo,www.circulorojo.com.mx,183,2018-03-26,"$ 63,200.00"
34,2018,enero-marzo,www.circulorojo.com.mx,184,2018-03-26,"$ 47,400.00"
35,2018,enero-marzo,www.circulorojo.com.mx,186,2018-03-28,"$ 63,200.00"
36,2018,enero-marzo,"Fénix Comunicaciones, S.A. de C.V.",198,2018-03-28,"$ 25,000.00"
37,2018,enero-marzo,"Radio Impulsora X.E.E., S.A",1988,2018-03-31,"$ 142,227.60"
38,2018,enero-marzo,"Radio Impulsora X.E.E., S.A",1989,2018-03-31,"$ 230,828.40"
39,2018,enero-marzo,"Fénix Comunicaciones, S.A. de C.V.",199,2018-03-28,"$ 50,000.00"
40,2018,enero-marzo,"Radio Impulsora X.E.E., S.A",1990,2018-03-31,"$ 251,812.80"
41,2018,enero-marzo,"Jessica Arely Medina Valerio",1A9C,2018-03-26,"$ 60,000.00"
42,2018,enero-marzo,"Unidad Corporativa de Televisión, S.A. de C.V.",2,2018-02-26,"$ 638,000.00"
43,2018,enero-marzo,"Fénix Comunicaciones, S.A. de C.V.",200,2018-03-28,"$ 25,000.00"
44,2018,enero-marzo,"Comunicación Futura, S.A. de C.V.",202,2018-03-31,"$ 52,799.78"
45,2018,enero-marzo,"Comunicación Futura, S.A. de C.V.",203,2018-03-31,"$ 99,199.72"
46,2018,enero-marzo,"Comunicación Futura, S.A. de C.V.",204,2018-03-31,"$ 47,199.87"
47,2018,enero-marzo,"Expreseditores, S.A. de C.V.",229,2018-03-28,"$ 44,400.00"
48,2018,enero-marzo,"Expreseditores, S.A. de C.V.",230,2018-03-28,"$ 30,000.00"
49,2018,enero-marzo,"Expreseditores, S.A. de C.V.",231,2018-03-28,"$ 30,000.00"
50,2018,enero-marzo,"Periodismo Referente, S. de R.L. de C.V.",234,2018-03-27,"$ 71,760.00"
51,2018,enero-marzo,"La Ventana del Juicio.mx",241,2018-03-27,"$ 38,940.00"
52,2018,enero-marzo,"La Ventana del Juicio.mx",242,2018-03-27,"$ 48,700.75"
53,2018,enero-marzo,"La Ventana del Juicio.mx",243,2018-03-27,"$ 51,300.71"
54,2018,enero-marzo,www.elpuntero.com.mx,26,2018-03-27,"$ 79,800.00"
55,2018,enero-marzo,"Antena 102.5",270,2018-03-27,"$ 128,500.01"
56,2018,enero-marzo,"Nueva Línea Comunicación, S.C.",274,2018-03-28,"$ 58,590.00"
57,2018,enero-marzo,"Nueva Línea Comunicación, S.C.",276,2018-03-28,"$ 50,720.00"
58,2018,enero-marzo,"Nueva Línea Comunicación, S.C.",277,2018-03-28,"$ 68,160.00"
59,2018,enero-marzo,WWW.MASNOTICIAS.NET,296A,2018-03-28,"$ 41,664.00"
60,2018,enero-marzo,"ASERTO RADIO",300,2018-03-27,"$ 51,019.06"
61,2018,enero-marzo,"ASERTO RADIO",301,2018-03-27,"$ 84,148.68"
62,2018,enero-marzo,"Merboca, S.A. de C.V.",365,2018-03-26,"$ 23,333.33"
63,2018,enero-marzo,"Merboca, S.A. de C.V.",366,2018-03-26,"$ 23,333.33"
64,2018,enero-marzo,"Merboca, S.A. de C.V.",367,2018-03-26,"$ 23,333.33"
65,2018,enero-marzo,WWW.PAUSA.MX,3899,2018-03-27,"$ 24,000.00"
66,2018,enero-marzo,"Omnia Comunicaciones, S. de R.L. de C.V.",413,2018-03-27,"$ 45,714.28"
67,2018,enero-marzo,"Omnia Comunicaciones, S. de R.L. de C.V.",414,2018-03-27,"$ 55,714.28"
68,2018,enero-marzo,WWW.ADRIANARUIZ.COM.MX,41AF,2018-03-26,"$ 50,000.00"
69,2018,enero-marzo,www.alcontacto.com.mx,41CF,2018-03-28,"$ 50,000.00"
70,2018,enero-marzo,WWW.MASNOTICIAS.NET,4E5E,2018-03-29,"$ 41,664.00"
71,2018,enero-marzo,"NN NUESTRAS NOTICIAS",4F44,2018-03-27,"$ 70,407.77"
72,2018,enero-marzo,www.alcontacto.com.mx,53CC,2018-03-28,"$ 25,000.00"
