#,Procedimiento,"Nombre o razón social del proveedor",Ejercicio,Trimestre,"Sujeto obligado contratante","Sujeto obligado solicitante","Número de contrato","Objeto del contrato",Descripción,"Fundamento jurídico","Fecha de celebración","Fecha de inicio","Fecha de término","Monto original de contrato","Monto modificado","Monto total","Monto pagado a la fecha","Archivo del contrato en PDF","Área responsable de la información","Fecha de validación",Año,"Fecha de actualización",Nota,Estatus
1,"Adjudicación directa","Promotora de Radio de Chihuahua, S.A. de C.V.",2019,julio-septiembre,Chihuahua,Chihuahua,AD220/19,"Publicidad radiofonica
 ","Servicio de publicidad en radio a través del Programa Estereo Vida, XHHES 94.1 F.M., ArrobaXHDI 88.5, la poderosa XHFA 89.3 y Estereo Meixcana 96.5 F.M."", vía spots de avisos y anuncios oficiales, transmisiones en programas y transmisiones en vivo para la correcta comunicación del Gobierno Municipal. 
 ","""Ley de Adquisiciones, Arrendamientos y Contratación de Servicios del Estado de Chihuahua, 29F.IV, 40 F. II, 72, 73 F.I,No existan bienes o servicios alternativos o sustitutos técnicamente razonables, o bien, que en el mercado exista una sola persona oferente. ""
 ",19.07.2019,19.07.2019,31.12.2019,"$ 1,394,439.00",$0.00,"$ 1,394,439.00","$ 1,394,438.96",AD_220-19.PDF,Chihuahua,06.07.2020,2019,06.07.2020,,Activo
2,"Adjudicación directa","Multimedios, S.A. de C.V.",2019,julio-septiembre,Chihuahua,Chihuahua,AD229/19,"Publicidad radiofonica
 ","Servicio de publicidad en radio a través de la Programación de ""Multimedios"", vía spots de avisos y anuncios oficiales, transmisiones en programas y transmisiones en vivo para la correcta comunicación del Gobierno Municipal. A través de sus estaciones de radio XACH 90.9 F.M. La caliente, XHCHA104.5 Hits F.M., XHCHH94.5 D95, XHHEM 103.7 F.M. Classic F.M. 
 ","""Ley de Adquisiciones, Arrendamientos y Contratación de Servicios del Estado de Chihuahua, 29F.IV, 40 F. II, 72, 73 F.I,No existan bienes o servicios alternativos o sustitutos técnicamente razonables, o bien, que en el mercado exista una sola persona oferente. ""
 ",19.07.2019,19.07.2019,31.12.2019,"$ 1,740,000.00",$0.00,"$ 1,740,000.00","$ 0.00",AD_229-19.PDF,"Chihuahua ",06.07.2020,2019,06.07.2020,,Activo
3,"Adjudicación directa","Imagen Radio Comercial, S.A. de C.V.",2019,julio-septiembre,Chihuahua,Chihuahua,AD226/19,"Publicidad radiofonica
 ","Servicio de publicidad en radio a través de la Programación de ""Imagen radio comercial XHCHI 97.3 F.M."", vía spots de avisos y anuncios oficiales, transmisiones en programas y transmisiones en vivo para la correcta comunicación del Gobierno Municipal. 
 ","""Ley de Adquisiciones, Arrendamientos y Contratación de Servicios del Estado de Chihuahua, 29F.IV, 40 F. II, 72, 73 F.I,No existan bienes o servicios alternativos o sustitutos técnicamente razonables, o bien, que en
el mercado exista una sola persona oferente. ""
 ",19.07.2019,19.07.2019,31.12.2019,"$ 1,075,204.00",$0.00,"$ 1,075,204.00","$ 1,075,204.00",AD_226-19.PDF,Chihuahua,06.07.2020,2019,06.07.2020,,Activo
4,"Adjudicación directa","Roger Sistemas Exteriores, S. de R.L. de C.V.",2018,octubre-diciembre,Chihuahua,Chihuahua,AD304/18,"Publicidad Exterior ","Arrendamiento de espacios Unipolares Contando con Servicio de impresión, montaje, retiro del material, en diversos puntos de la ciudad para la adecuada comunicación del Gobierno Municipal. ","Ley de Adquisiciones, Arrendamientos y contratación de Servicios para el Estado de Chihuahua, Articulos; 44 F. II, 48, 72, 73 F. I  No existan bienes o servicios alternativos o sustitutos técnicamente razonables, o bien, que en el mercado exista una sola persona oferente ",01.10.2018,01.10.2018,31.12.2018,"$ 350,000.00",$0.00,"$ 350,000.00","$ 350,000.00",AD304-18.PDF,Chihuahua,09.07.2020,2018,09.07.2020,,Activo
5,"Adjudicación directa","Silent Mobil S. de R.L. de C.V.",2018,octubre-diciembre,Chihuahua,Chihuahua,AD302/18,"Servicios de monitoreo de medios de comunicación. ","Servicio de análisis de tendencia e interacción dentro del posicionamiento en redes sociales para la correcta comunicación del gobierno municipal, en el transcurso del año 2018. ","Ley de Adquisiciones, Arrendamientos y contratación de Servicios para el Estado de Chihuahua, Articulos; 44 F. II, 48, 72, 73 F. I  No existan bienes o servicios alternativos o sustitutos técnicamente razonables, o bien, que en el mercado exista una sola persona oferente ",01.10.2018,01.10.2018,31.12.2018,"$ 249,960.00",$0.00,"$ 249,960.00","$ 249,960.00","No hay archivo",Chihuahua,31.12.2018,2018,09.07.2020,,Activo
6,"Adjudicación directa","Información Procesada Hemeroteca  Y Análisis de Prensa, S.C.",2018,octubre-diciembre,Chihuahua,Chihuahua,AD303/18,"Servicio de Monitoreo de Medios de Comunicación.","Servicio de monitoreo profesional de medios (radio, televisión, prensa escrita y periodicos digitales para así poder tener una adecuada medición al desempeño del gobierno municipal, solicitado por la coordinación de comunicación social. ","Ley de Adquisiciones, Arrendamientos y contratación de Servicios para el Estado de Chihuahua, Articulos; 44 F. II, 48, 72, 73 F. I  No existan bienes o servicios alternativos o sustitutos técnicamente razonables, o bien, que en el mercado exista una sola persona oferente ",01.10.2018,01.10.2020,31.12.2018,"$ 175,000.00",$0.00,"$ 175,000.00","$ 175,000.00",AD_303-18.PDF,Chihuahua,09.07.2020,2018,09.07.2020,,Activo
7,"Adjudicación directa",www.elpuntero.com.mx,2018,octubre-diciembre,Chihuahua,Chihuahua,AD313/18,"Publicidad medios digitales ","Servicio de publicidad en medios informativos digitales de mayor circulación y en plataformas digitales, especificamente en la pagina www.elpuntero.com.mx  y tiempo que le sea solicitado la coordinación de comunicación social.","Ley de Adquisiciones, Arrendamientos y contratación de Servicios para el Estado de Chihuahua, Articulos; 44 F. II, 48, 72, 73 F. I  No existan bienes o servicios alternativos o sustitutos técnicamente razonables, o bien, que en el mercado exista una sola persona oferente",01.10.2018,01.10.2018,31.12.2018,"$ 199,400.00",$0.00,"$ 199,400.00","$ 196,000.00",T-AD_313-18_-_XOCHITL_JASMIN_GARCIA_GOMEZ.PDF,Chihuahua,14.07.2020,20018,14.07.2020,,Activo
8,"Adjudicación directa","Monito, Análisis y Monitoreo de Medios, S.A. de C.V.",2018,octubre-diciembre,Chihuahua,Chihuahua,AD301/18,"Servicios diverso de comunicación ","Servicio de monitoreo profesional de medios (radio, televisión, prensa escrita y periodicos digitales para así poder tener una adecuada medición al desempeño del gobierno municipal, solicitado por la coordinación de comunicación social. ","Ley de Adquisiciones, Arrendamientos y contratación de Servicios para el Estado de Chihuahua, Articulos; 44 F. II, 48, 72, 73 F. I  No existan bienes o servicios alternativos o sustitutos técnicamente razonables, o bien, que en el mercado exista una sola persona oferente ",01.10.2018,01.10.2018,31.12.2018,"$ 435,000.00",$0.00,"$ 435,000.00","$ 435,000.00",AD_301-18.PDF,Chihuahua,09.07.2020,2018,09.07.2020,,Activo
9,"Adjudicación directa","Jessica Arely Medina Valerio",2018,octubre-diciembre,Chihuahua,Chihuahua,AD300/18,"Publicidad exterior ","Servicio de publicidad en Mega Pantalla, ubicada en calle Libertad esquina con Vicente Guerrero, Colonia Centro, para la correcta comunicación del Gobierno Municipal ","Ley de Adquisiciones, Arrendamientos y contratación de Servicios para el Estado de Chihuahua, Articulos; 44 F. II, 48, 72, 73 F. I  No existan bienes o servicios alternativos o sustitutos técnicamente razonables, o bien, que en el mercado exista una sola persona oferente. ",01.10.2018,01.10.2018,31.12.2018,"$ 198,000.00",$0.00,"$ 198,000.00","$ 198,000.00",T-AD_300-18_-_JESSICA_ARELY_MEDINA_VALERIO.PDF,Chihuahua,09.07.2020,2018,09.07.2020,,Activo
10,"Adjudicación directa","Imprenta Siglo XXV, S.A. de C.V.",2018,enero-marzo,Chihuahua,Chihuahua,AD010/18,"Publicidad medios digitales ","Servicio de publicidad en el medio informativo digital, especificamente en la página www.tiempo. com.mx ","Ley de Adquisiciones, Arrendamientos, Contratación de Servicios y Obra Pública del Estado de Chihuahua, Art. 102, A, F.XI Se trate de servicios profesionales ",01.01.2018,01.01.2018,30.06.2018,"$ 835,200.00",$0.00,"$ 835,200.00","$ 835,200.00",5f0752cb956e5_AD010-18.PDF,Chihuahua,06.06.2020,2018,06.06.2020,,Activo
11,"Adjudicación directa","Jesús Antonio Pérez Rodríguez",2018,octubre-diciembre,Chihuahua,Chihuahua,AD299/18,"Servicios diversos de comunicación. ","Servicio Profesional en generación de contenido multimedia de calidad cinematograficapara la correcta comunicación del Gobierno Municipal.","Ley de adquisiciones, arrendamientos y contratación de servicios para el Estado de Chihuahua, articulos; 43 F. II, 48, 72, 73 F. I  No existan bienes o servicios alternativos o sustitutos técnicamente razonables, o bien, que en el mercado exista una sola persona oferente ",01.10.2018,01.10.2018,31.12.2018,"$ 600,000.00",$0.00,"$ 600,000.00","$ 600,000.00",T-AD_299-18_-_JESUS_ANTONIO_PEREZ_RODRIGUEZ.PDF,Chihuahua,09.07.2020,2018,09.07.2020,,Activo
