#,Ejercicio,Proveedor,Contrato,Orden,Trimestre,"Número de factura",Monto,"Fecha de erogación","Archivo de factura en PDF","Archivo de factura en XML","Fecha de validación","Área responsable de la información",Año,"Fecha de actualización",Nota,Estatus
1,2018,"Imprenta Siglo XXV, S.A. de C.V.",AD010/18,"Sin orden de compra",enero-marzo,A672,"$ 255,200.00",21.03.2018,1_IMPRENTA_SIGLO_XXV.PDF,,,,0,,,Activo
2,2018,"Imprenta Siglo XXV, S.A. de C.V.",AD010/18,"Sin orden de compra",enero-marzo,A671,"$ 232,000.00",21.03.2018,2_IMPRENTA_SIGLO_XXV.PDF,,,,0,,,Activo
3,2019,"Radio Lobo, S.A. de C.V.",AD097/19,"Sin orden de compra",abril-junio,"RL 8235","$ 273,539.21",03.05.2019,47-RADIO_LOBO_S.A._DE_C.V..PDF,,,,0,,,Activo
4,2019,"Radio Lobo, S.A. de C.V.",AD097/19,"Sin orden de compra",abril-junio,"RL 8231","$ 395,912.00",16.04.2019,48-RADIO_LOBO_S.A._DE_C.V..PDF,,,,0,,,Activo
5,2019,"Comunicaciones Chihua, S.A. de C.V.",AD098/19,"Sin orden de compra",abril-junio,"CCH 2672","$ 251,944.01",03.05.2019,49-COMUNICACIONES_CHIHUA_S.A._DE_C.V..PDF,,,,0,,,Activo
6,2019,"Comunicaciones Chihua, S.A. de C.V.",AD098/19,"Sin orden de compra",abril-junio,"CCH 2655","$ 387,993.76",16.04.2019,50-COMUNICACIONES_CHIHUA_S.A._DE_C.V..PDF,,,,0,,,Activo
7,2019,"Imagen Radio Comercial, S.A. de C.V.",AD099/19,"Sin orden de compra",abril-junio,"IRCRF 98","$ 522,000.00",23.04.2019,51-IMAGEN_RADIO_COMERCIAL_S.A._DE_C.V..PDF,,,,0,,,Activo
8,2019,"Imagen Radio Comercial, S.A. de C.V.",AD099/19,"Sin orden de compra",abril-junio,"IRCRF 118","$ 202,710.00",22.05.2019,52-IMAGEN_RADIO_COMERCIAL_S.A._DE_C.V..PDF,,,,0,,,Activo
9,2019,"Jessica Arely Medina Valerio",AD100/19,"Sin orden de compra",abril-junio,150D,"$ 66,000.00",24.05.2019,53-JESSICA_ARELY_MEDINA_VALERIO.PDF,,,,0,,,Activo
10,2019,"Jessica Arely Medina Valerio",AD100/19,"Sin orden de compra",abril-junio,36C6,"$ 90,000.00",22.04.2019,54-JESSICA_ARELY_MEDINA_VALERIO.PDF,,,,0,,,Activo
11,2019,"Recuperadora Ambiental Del Norte S de Rl de Cv",AD101/19,"Sin orden de compra",abril-junio,-206,"$ 182,000.00",16.04.2019,55-RECUPERADORA_AMBIENTAN_DEL_NORTE_S._DE_R.L._DE_C.V..PDF,,,,0,,,Activo
12,2019,"Recuperadora Ambiental Del Norte S de Rl de Cv",AD101/19,"Sin orden de compra",abril-junio,-208,"$ 84,000.00",22.05.2019,56-RECUPERADORA_AMBIENTAN_DEL_NORTE_S._DE_R.L._DE_C.V..PDF,,,,0,,,Activo
